,OBJECTID,CED_JUR_COND,NOMBRE,MATRIZ,NIVELES,CANT_FF,FF_MENOR,FF_MAYOR,LOCALIZACION,created_user,created_date,last_edited_user,last_edited_date,OBSERVACIONES,GlobalID,SHAPE.STArea(),SHAPE.STLength(),SHAPE
0,1,0,CONDONIMIO TEKALI,00000865 M,3,12,00015932 F,00015943 F,010116 0013 C,,,SDE,2019-01-30 19:14:32,,{D5D85E52-0237-4653-A794-20006713E76E},396.0289306640625,187.06669347780073,"{'rings': [[[493296.7918999996, 1098849.5803999994], [493296.6261, 1098846.5482], [493297.3439999996, 1098846.476399999], [493297.48759999964, 1098847.1226000004], [493298.4927000003, 1098846.9790000003], [493298.4927000003, 1098846.332800001], [493300.1440000003, 1098846.1892000008], [493299.78500000015, 1098842.4559000004], [493300.35929999966, 1098841.3071999997], [493300.21580000035, 1098839.7995999996], [493299.426, 1098839.1534000002], [493299.35419999994, 1098838.3637000006], [493296.12349999975, 1098838.5073000006], [493296.12349999975, 1098837.2868000008], [493292.9645999996, 1098837.5738999993], [493292.9645999996, 1098838.7945000008], [493289.0159, 1098838.9379999992], [493289.2313000001, 1098842.3841999993], [493288.87229999993, 1098843.1020999998], [493289.30310000014, 1098843.6764000002], [493289.66199999955, 1098847.1943999995], [493293.6825000001, 1098846.9071999993], [493294.07299999986, 1098849.7793000005], [493296.7918999996, 1098849.5803999994]], [[493276.3082999997, 1098835.922700001], [493276.3082999997, 1098834.7021999992], [493279.7544, 1098834.3432], [493279.7544, 1098833.1944999993], [493280.4724000003, 1098832.4766000006], [493280.4724000003, 1098831.0406999998], [493279.5390999997, 1098830.1074], [493279.3236999996, 1098826.5895000007], [493277.6723999996, 1098826.5895000007], [493277.7441999996, 1098825.9432999995], [493276.45189999975, 1098826.0868999995], [493276.5236999998, 1098826.6612999998], [493275.87760000024, 1098826.732999999], [493275.6189000001, 1098823.9195000008], [493272.6062000003, 1098824.232999999], [493272.71860000025, 1098826.8765999991], [493268.69820000045, 1098827.1637999993], [493268.9852999998, 1098830.6098999996], [493268.69820000045, 1098831.1842999998], [493269.05709999986, 1098831.9739999995], [493269.3443, 1098835.2047000006], [493273.5083999997, 1098834.9176000003], [493273.65189999994, 1098836.0662999991], [493276.3082999997, 1098835.922700001]], [[493295.33380000014, 1098832.6202000007], [493295.4056000002, 1098831.4715], [493298.9952999996, 1098831.1842999998], [493298.85170000046, 1098830.1074], [493299.426, 1098829.1022999994], [493299.2823999999, 1098827.4509999994], [493298.4927000003, 1098826.5895000007], [493298.2773000002, 1098823.0715999994], [493296.4824999999, 1098823.3586999997], [493296.4824999999, 1098822.7126000002], [493295.4056000002, 1098822.7126000002], [493295.4056000002, 1098823.2869000006], [493294.54399999976, 1098823.3586999997], [493294.55840000045, 1098820.7381999996], [493291.5394000001, 1098820.9795999993], [493291.8158, 1098823.6459], [493287.72360000014, 1098824.2203000002], [493287.93900000025, 1098827.3073999994], [493287.6518000001, 1098828.1689], [493288.15440000035, 1098828.7433000002], [493288.4414999997, 1098832.0458000004], [493292.39020000026, 1098831.6867999993], [493292.60560000036, 1098832.8355], [493295.33380000014, 1098832.6202000007]], [[493277.60059999954, 1098849.2046000008], [493277.38520000037, 1098846.476399999], [493278.1031999998, 1098846.476399999], [493278.1031999998, 1098846.9071999993], [493279.3236999996, 1098846.8354000002], [493279.3236999996, 1098846.261], [493280.83139999956, 1098846.0457000006], [493280.6160000004, 1098842.4559000004], [493281.04669999983, 1098841.5226000007], [493280.9748999998, 1098840.0866999999], [493280.2570000002, 1098839.2251999993], [493280.2570000002, 1098838.2201000005], [493276.8108999999, 1098838.5073000006], [493276.66729999986, 1098837.2868000008], [493273.7237, 1098837.430400001], [493273.86730000004, 1098838.5073000006], [493269.7751000002, 1098839.0098], [493270.0621999996, 1098842.0969999991], [493269.63150000013, 1098842.8867000006], [493270.0621999996, 1098843.604699999], [493270.3493999997, 1098846.9790000003], [493274.51350000035, 1098846.6199999992], [493274.72890000045, 1098849.635399999], [493277.60059999954, 1098849.2046000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
1,2,0,EDIFICIO OVNI,00302133 M,8,49,00001664 F,00001712 F,010003 0008 C,,,SDE,2019-01-30 19:14:32,,{76EDF989-CF49-49DD-8679-FE757DCD7F9A},1978.1953430175781,234.32802787239282,"{'rings': [[[491599.4846999999, 1098479.832800001], [491597.8033999996, 1098471.1559999995], [491590.09219999984, 1098471.9551999997], [491584.3069000002, 1098472.9009000007], [491570.43560000043, 1098475.0244999994], [491571.6342000002, 1098485.7720999997], [491550.0120000001, 1098486.2789999992], [491525.2037000004, 1098487.7266000006], [491524.2039000001, 1098487.7744999994], [491525.15249999985, 1098498.5223999992], [491525.71499999985, 1098498.7595000006], [491530.4642000003, 1098498.4734000005], [491530.59109999985, 1098500.3323999997], [491533.71559999976, 1098500.1729000006], [491533.7790000001, 1098500.9695999995], [491545.52699999977, 1098500.3479999993], [491545.5903000003, 1098501.0978999995], [491546.27770000044, 1098501.0347000007], [491557.0246000001, 1098501.8341000006], [491567.53139999975, 1098502.7717000004], [491567.65220000036, 1098502.6182000004], [491568.9137000004, 1098513.7719], [491569.2290000003, 1098516.5056999996], [491605.2204, 1098511.9373000003], [491603.2098000003, 1098501.612400001], [491601.5747999996, 1098491.8652], [491599.4846999999, 1098479.832800001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
2,3,0,CONDOMINIO MADRE SELVA,00000082 M,1,10,00002082 F,00002091 F,010016 0011 C,,,SDE,2019-01-30 19:14:32,,{7423F139-AC57-4956-B0BE-02BF65B179BD},1064.0769653320312,130.7845640899541,"{'rings': [[[492794.8245000001, 1098316.2807999998], [492828.2536000004, 1098311.6839000005], [492828.3150000004, 1098310.668299999], [492828.24289999995, 1098301.4661999997], [492828.1775000002, 1098298.7009999994], [492828.10759999976, 1098291.5612000003], [492828.0415000003, 1098288.046], [492827.97250000015, 1098281.8749000002], [492815.4117999999, 1098282.2941999994], [492806.7878999999, 1098282.5219999999], [492794.28949999996, 1098282.7537999991], [492794.35950000025, 1098289.9404000007], [492794.4255999997, 1098293.3462000005], [492794.55700000003, 1098299.5173000004], [492794.6261999998, 1098305.9071999993], [492794.7609000001, 1098315.1092000008], [492794.8245000001, 1098316.2807999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
3,4,0,CONDOMINIO PALAU,00000098 M,1,10,00002246 F,00002256 F,010015 00061C,,,SDE,2019-01-30 19:14:32,,{45B55BF3-6DE0-4337-87EF-3A5A70B63AD1},1147.3435668945312,140.86421617864508,"{'rings': [[[492910.32940000016, 1098362.4575999994], [492924.7951999996, 1098361.4056000002], [492928.41949999984, 1098361.1674000006], [492934.87090000045, 1098360.7459999993], [492934.98089999985, 1098360.7388000004], [492934.0926000001, 1098347.9754000008], [492933.2048000004, 1098335.6183000002], [492932.6969999997, 1098328.1509000007], [492931.3091000002, 1098315.669399999], [492924.74789999984, 1098316.1918000001], [492918.18649999984, 1098316.6049000006], [492905.5639000004, 1098317.6022999994], [492906.25820000004, 1098324.194599999], [492907.3306999998, 1098333.7862], [492907.5201000003, 1098335.614], [492908.0248999996, 1098340.331700001], [492908.71920000017, 1098346.8771000002], [492909.4764999999, 1098353.8756000008], [492909.7291000001, 1098356.4688000008], [492910.32940000016, 1098362.4575999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
4,5,0,CONDOMINIO PONTEVEDRA,00000100 M,1,3,00002275 F,00002277 F,010115 0015 C,,,SDE,2019-01-30 19:14:32,,{559EAC7A-2B26-4FE1-8BFD-EEB683FF670A},1415.0609130859375,152.4776007077437,"{'rings': [[[492924.18400000036, 1098960.0857999995], [492894.4042999996, 1098971.8812000006], [492903.04509999976, 1098993.6458], [492909.2675999999, 1099009.4154000003], [492910.7845999999, 1099013.2460999992], [492940.3121999996, 1099001.0222999994], [492924.18400000036, 1098960.0857999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
5,6,0,CONDOMINIO ALFAGUI,00000363 M,1,8,00005424 F,00005431 F,010115 0003 C,,,SDE,2019-01-30 19:14:33,,{1B8BD8A5-537F-40FC-8246-FE17C0D1F169},840.8779602050781,131.22477892490636,"{'rings': [[[492829.14130000025, 1099042.7671000008], [492850.4128999999, 1099040.3501999993], [492844.5920000002, 1099025.7437999994], [492842.05319999997, 1099026.6459999997], [492830.5673000002, 1098997.3453000002], [492821.52329999954, 1099000.9527000003], [492813.5471999999, 1099004.2405999992], [492829.14130000025, 1099042.7671000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
6,7,0,JUNTA ADMINISTRADORA,00000103 M,3,29,00002318 F,00002802 F,010030 0022 C,,,SDE,2019-01-30 19:14:33,,{25E1ACC4-BA80-4734-BD7F-D7EAEA909D73},3105.025909423828,227.410958439889,"{'rings': [[[493203.8241999997, 1098477.7103000004], [493267.83469999954, 1098494.3603000008], [493261.2078, 1098432.1552000009], [493202.53270000033, 1098437.9815999996], [493203.8241999997, 1098477.7103000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
7,8,502340694,COND APARTAMENTOS DALLAS,00000108 M,1,24,00002433 F,00002455 F,010012 0001 C,,,106720665,2019-09-26 16:00:48,ACTUALIZACION CATASTRAL,{1AB26082-B1A7-4DC1-ABE8-B91C4F06E4A7},924.4168090820312,126.77728703339884,"{'rings': [[[492550.22979999986, 1098319.9112999998], [492552.1666000001, 1098319.3937], [492559.7887000004, 1098317.417199999], [492564.4099000003, 1098314.3033000007], [492569.0954999998, 1098312.9548000004], [492563.98979999963, 1098297.8534999993], [492555.5388000002, 1098276.7901000008], [492555.2440999998, 1098274.3016], [492553.93090000004, 1098273.4905999992], [492550.38439999986, 1098273.5176], [492543.8117000004, 1098277.9849999994], [492537.06709999964, 1098282.4134999998], [492532.63329999987, 1098285.5272000004], [492544.7803999996, 1098307.918299999], [492547.72200000007, 1098312.1491], [492550.22979999986, 1098319.9112999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
8,9,0,CONDOMINIO ACONCAGUA,00000121 M,2,4,00002540 F,00002543 F,010030 0031 C,,,SDE,2019-01-30 19:14:33,,{51E98249-6235-4BF5-B368-0CCC504F1BF6},315.866943359375,80.22358637578643,"{'rings': [[[493185.4857999999, 1098331.6829000004], [493197.17080000043, 1098330.5300999992], [493196.5378999999, 1098322.9066000003], [493194.89130000025, 1098302.0512000006], [493184.8920999998, 1098301.7805000003], [493185.0865000002, 1098308.3732999992], [493185.15500000026, 1098314.1695000008], [493185.3512000004, 1098322.4965000004], [493185.4857999999, 1098331.6829000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
9,10,0,CONDOMINIO ARGOS-ESCALANTE,00000257 M,2,7,00004263 F,00004269 F,010084 0009 C,,,SDE,2019-01-30 19:14:33,,{5013CCA8-64D1-4311-83E0-53488D25CF03},591.4881896972656,107.16574346796413,"{'rings': [[[492857.72759999987, 1098648.2572000008], [492874.2262000004, 1098648.5993000008], [492876.53199999966, 1098642.4569000006], [492879.5881000003, 1098636.6418999992], [492883.2695000004, 1098631.2323000003], [492884.14329999965, 1098630.1378000006], [492891.25939999986, 1098622.4123999998], [492881.76130000036, 1098623.2192000002], [492864.20239999983, 1098624.8780000005], [492855.14159999974, 1098625.5748999994], [492857.72759999987, 1098648.2572000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
