,Administracion,Cod_Segmento,Id_Distrito,Jerarquia,Nombre,Nomenclatura,Numero_Via,OBJECTID,SHAPE,Sentido,Shape.STLength(),Tipo_Via
0,MUNICIPAL,A034_V110_,10,LOCAL TERCIARIA, ,A 34,34,1,"{'paths': [[[489672.20990000013, 1096892.8209000006], [489682.40490000043, 1096891.8880000003], [489741.4205, 1096887.9800000004], [489791.92929999996, 1096883.7291]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}",NORTE - SUR,120.06981130644019,AVENIDA
1,MUNICIPAL,A028BC064BC064C,10,LOCAL SECUNDARIA, ,A 28B,28B,2,"{'paths': [[[488097.02940000035, 1097106.4012000002], [488106.64609999955, 1097106.5505999997], [488114.3322999999, 1097106.1832999997], [488119.94570000004, 1097105.0662999991]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}",NORTE - SUR,23.036287495171706,AVENIDA
2,MUNICIPAL,A028BC064CC064D,10,LOCAL SECUNDARIA, ,A 28B,28B,3,"{'paths': [[[488070.24540000036, 1097100.6859000009], [488079.89630000014, 1097103.7972], [488097.02940000035, 1097106.4012000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}",NORTE - SUR,27.469879261101404,AVENIDA
3,MUNICIPAL,A028BC064AC064B,10,LOCAL SECUNDARIA, ,A 28B,28B,4,"{'paths': [[[488119.94570000004, 1097105.0662999991], [488135.2620000001, 1097100.9592000004], [488144.1710999999, 1097097.6797000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}",NORTE - SUR,25.35093946733287,AVENIDA
4,MUNICIPAL,A028BC064_C064A,10,LOCAL SECUNDARIA, ,A 28B,28B,5,"{'paths': [[[488144.1710999999, 1097097.6797000002], [488165.52830000035, 1097088.0614]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}",NORTE - SUR,23.423101561333446,AVENIDA
5,MUNICIPAL,A028BC062BC064_,10,LOCAL SECUNDARIA, ,A 28B,28B,6,"{'paths': [[[488165.52830000035, 1097088.0614], [488187.2019999996, 1097075.6763000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}",NORTE - SUR,24.96277175429036,AVENIDA
6,MUNICIPAL,A028BC064DC066,10,LOCAL SECUNDARIA, ,A 28B,28B,7,"{'paths': [[[488017.8739, 1097072.1831999999], [488032.2550999997, 1097080.5102999993], [488045.7588999998, 1097088.0218000002], [488054.26290000044, 1097092.8717999998], [488062.9539000001, 1097097.2061], [488070.24540000036, 1097100.6859000009]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}",NORTE - SUR,59.651341766465364,AVENIDA
7,MUNICIPAL,A028BC062AC062B,10,LOCAL SECUNDARIA, ,A 28B,28B,8,"{'paths': [[[488187.2019999996, 1097075.6763000004], [488206.27940000035, 1097061.6075999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}",NORTE - SUR,23.70391340047749,AVENIDA
8,MUNICIPAL,A038_V176_C046B,10,ALAMEDA, ,A 38,38,9,"{'paths': [[[488944.28780000005, 1096545.5003999993], [488903.05009999964, 1096568.2718000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}",NORTE - SUR,47.10716038273182,AVENIDA
9,MUNICIPAL,C046AA036_A038_,10,LOCAL TERCIARIA,CALLE COLOMBIA,C 46A,46A,10,"{'paths': [[[488987.10450000037, 1096541.9004999995], [488995.8117000004, 1096629.6382]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}",NORTE - SUR,88.16869814850513,CALLE
