,OBJECTID,CATEGORIA,NOMBRE,ABREVIADO,ID_DISTRITO,PROPIETARIO,SHAPE
0,1,NO CATÓLICA,IGLESIA ADVENTISTA,IGLESIA ADVENTISTA,9,PRIVADO,"{'rings': [[[484897.9285000004, 1099311.1479000002], [484896.3881000001, 1099297.8839999996], [484877.42250000034, 1099300.0844999999], [484878.9628999997, 1099313.3485000003], [484897.9285000004, 1099311.1479000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
1,2,NO CATÓLICA,IGLESIA JESUCRISTO HOMBRE,IGLESIA JESUCRISTO HOMBRE,9,PRIVADO,"{'rings': [[[485190.4528999999, 1099264.960000001], [485181.74789999984, 1099265.9623000007], [485181.6797000002, 1099266.8100000005], [485174.03780000005, 1099267.6316], [485173.95940000005, 1099266.859099999], [485165.94209999964, 1099267.7822999991], [485167.37959999964, 1099281.3824000005], [485167.7313000001, 1099284.7094999999], [485179.38269999996, 1099283.4398999996], [485179.1191999996, 1099281.4057], [485192.0488999998, 1099280.0109], [485192.2418999998, 1099279.5271000005], [485190.4528999999, 1099264.960000001]], [[485174.2478, 1099279.4750999995], [485173.2073999997, 1099279.5550999995], [485172.6973000001, 1099274.4135999996], [485173.54760000017, 1099274.3235999998], [485174.2478, 1099279.4750999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
2,3,CATÓLICA,IGLESIA DEL NAZARENO,IGLESIA DEL NAZARENO,9,ESTADO,"{'rings': [[[485146.3013000004, 1099419.7387000006], [485145.1162999999, 1099408.1049000006], [485143.7763, 1099408.2243000008], [485143.51630000025, 1099404.9735000003], [485142.5060999999, 1099404.9434999991], [485142.24810000043, 1099402.4028999992], [485125.66089999955, 1099404.143100001], [485124.19070000015, 1099404.2930999994], [485124.32070000004, 1099407.1841000002], [485121.73610000033, 1099407.5055], [485122.2446999997, 1099412.9055000003], [485124.95710000023, 1099412.6927000005], [485125.2909000004, 1099416.2064999994], [485127.5115, 1099416.1665000003], [485127.94710000046, 1099421.4136999995], [485146.3013000004, 1099419.7387000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
3,4,NO CATÓLICA,IGLESIA CRISTIANA,IGLESIA CRISTIANA,9,PRIVADO,"{'rings': [[[485252.18369999994, 1099332.8435999993], [485252.25100000016, 1099331.523600001], [485252.3468000004, 1099331.510399999], [485252.37150000036, 1099331.3079000004], [485252.34140000027, 1099331.264799999], [485251.66899999976, 1099324.0556000005], [485250.95999999996, 1099324.0615999997], [485250.9034000002, 1099323.1345000006], [485250.20239999983, 1099323.1684000008], [485248.35720000044, 1099305.0472999997], [485249.7823999999, 1099304.9715999998], [485249.3735999996, 1099300.890900001], [485249.13889999967, 1099298.5484999996], [485248.50739999954, 1099292.2457999997], [485248.31740000006, 1099292.0053000003], [485248.0935000004, 1099287.7865999993], [485230.48419999983, 1099289.9232], [485230.8914000001, 1099292.7517000008], [485235.24870000035, 1099334.7123000007], [485252.18369999994, 1099332.8435999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
4,5,NO CATÓLICA,CENTRO CRISTIANO DE RESTAURACIÓN DE PAVAS,RESTAURACIÓN DE PAVAS,9,PRIVADO,"{'rings': [[[485213.37770000007, 1099179.8715000004], [485210.01489999983, 1099151.3402999993], [485208.75129999965, 1099142.1345000006], [485209.91309999954, 1099141.8610999994], [485210.0497000003, 1099142.4762999993], [485214.2187000001, 1099138.2389000002], [485219.4813000001, 1099137.5555000007], [485219.13549999986, 1099133.4891], [485207.7739000004, 1099134.8377], [485207.9128999999, 1099136.3490999993], [485189.2878999999, 1099139.2059000004], [485194.3942999998, 1099182.1173], [485213.37770000007, 1099179.8715000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
5,6,CATÓLICA,IGLESIA SANTA BÁRBARA DE PAVAS,IGLESIA SANTA BÁRBARA DE PAVAS,9,ESTADO,"{'rings': [[[485360.52749999985, 1099227.4065000005], [485382.77469999995, 1099224.9777000006], [485380.9902999997, 1099208.6920999996], [485355.27329999954, 1099211.6734999996], [485351.60529999994, 1099212.0511000007], [485351.60529999994, 1099212.5545000006], [485351.6042999998, 1099212.6612999998], [485349.84750000015, 1099212.7299000006], [485349.63630000036, 1099219.6141], [485351.0301000001, 1099226.9209000003], [485352.96910000034, 1099226.6824999992], [485353.0290999999, 1099226.9779000003], [485353.52890000027, 1099228.0491000004], [485360.52749999985, 1099227.4065000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
6,7,NO CATÓLICA,IGLESIA PENTECOSTAL,IGLESIA PENTECOSTAL,9,PRIVADO,"{'rings': [[[484709.90809999965, 1099472.5153], [484709.10929999966, 1099461.4131000005], [484708.5900999997, 1099454.1981000006], [484708.4852999998, 1099452.742900001], [484700.15869999956, 1099453.4686999992], [484701.8542999998, 1099473.2333000004], [484709.90809999965, 1099472.5153]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
7,8,NO CATÓLICA,IGLESIA BAUTISTA,IGLESIA BAUTISTA,9,PRIVADO,"{'rings': [[[484693.0025000004, 1099582.4767000005], [484704.9266999997, 1099581.363500001], [484704.0756000001, 1099570.069599999], [484703.94909999985, 1099568.388699999], [484702.3585000001, 1099568.5156999994], [484701.25210000016, 1099553.8938999996], [484685.92760000005, 1099555.1341999993], [484685.99760000035, 1099556.0844999999], [484682.7840999998, 1099556.3466999996], [484682.91610000003, 1099557.8991999999], [484683.4271, 1099563.9076000005], [484683.89360000007, 1099569.392000001], [484684.36259999964, 1099574.9058999997], [484684.4286000002, 1099575.6820999999], [484684.84190000035, 1099580.5413000006], [484684.9126000004, 1099581.3728999998], [484685.0695000002, 1099583.2171999998], [484693.0025000004, 1099582.4767000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
8,9,NO CATÓLICA,IGLESIA NO CATÓLICA,IGLESIA NO CATÓLICA,9,PRIVADO,"{'rings': [[[484395.4528999999, 1099482.3114999998], [484400.8504999997, 1099481.8167000003], [484400.7065000003, 1099480.1144999992], [484422.92310000025, 1099478.2441000007], [484421.6628999999, 1099463.7796999998], [484399.51630000025, 1099465.9102999996], [484399.4763000002, 1099465.3798999991], [484394.1347000003, 1099465.8301], [484394.1847000001, 1099466.4503000006], [484387.32270000037, 1099467.0804999992], [484388.88069999963, 1099482.8380999994], [484395.4528999999, 1099482.3114999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
9,10,NO CATÓLICA,CASA DE ORACIÓN EVANGÉLICA,CASA DE ORACIÓN EVANGÉLICA,9,PRIVADO,"{'rings': [[[484416.60539999977, 1099642.8351000007], [484416.17480000015, 1099638.2923000008], [484408.0399000002, 1099639.0568000004], [484409.81549999956, 1099658.8774999995], [484418.0536000002, 1099658.1119], [484417.43149999995, 1099651.5493], [484416.60539999977, 1099642.8351000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
