,OBJECTID,NOMBRE,ABREVIADO,CATEGORIA,SUBCATEGOR,PROPIETARIO,ID_DISTRITO,SHAPE
0,1,CENTRO COMERCIAL PLAZA MAYOR,PLAZA MAYOR,COMERCIAL,CENTRO COMERCIAL,PRIVADO,9,"{'rings': [[[487025.3837000001, 1099643.8904999997], [487032.2187000001, 1099654.4335999992], [487012.94990000036, 1099666.5171000008], [487010.3810999999, 1099668.1334000006], [487011.5175999999, 1099669.9531999994], [487016.3485000003, 1099677.6885000002], [487016.3622000003, 1099677.7105999999], [487017.37320000026, 1099679.3293999992], [487020.00189999957, 1099677.6503999997], [487020.68209999986, 1099678.7207999993], [487018.04279999994, 1099680.4015999995], [487021.56460000016, 1099688.0384999998], [487024.3331000004, 1099686.4831000008], [487025.4434000002, 1099688.2236000001], [487027.6841000002, 1099686.803200001], [487029.30869999994, 1099689.2028], [487037.0069000004, 1099684.5526], [487035.28639999963, 1099681.8318000007], [487037.7871000003, 1099680.2512999997], [487039.5776000004, 1099683.0822], [487047.25989999995, 1099678.2107999995], [487046.01960000023, 1099676.2601999994], [487047.6501000002, 1099675.2399000004], [487052.1113, 1099682.2819999997], [487062.1542999996, 1099675.9502000008], [487064.8951000003, 1099679.7114000004], [487066.14549999963, 1099678.8510999996], [487066.86569999997, 1099679.6713999994], [487071.267, 1099678.7010999992], [487076.04839999974, 1099675.2800999992], [487077.5689000003, 1099677.3006999996], [487089.7324999999, 1099674.5999999996], [487089.1023000004, 1099673.5697000008], [487085.7112999996, 1099667.9279999994], [487085.1412000004, 1099666.9677000009], [487082.7905000001, 1099663.0766000003], [487086.89169999957, 1099660.4057999998], [487087.68200000003, 1099659.8957000002], [487083.39080000017, 1099652.8836000003], [487084.4511000002, 1099652.1133999992], [487083.1807000004, 1099650.1228], [487082.2803999996, 1099650.6328999996], [487082.13040000014, 1099650.4027999993], [487084.8411999997, 1099648.6822999995], [487083.0806999998, 1099645.9114999995], [487086.22169999965, 1099643.9910000004], [487093.6638000002, 1099644.5211999994], [487096.2882000003, 1099644.7019999996], [487096.2407999998, 1099644.3787999991], [487096.03780000005, 1099642.8992999997], [487095.84130000044, 1099641.6524999999], [487083.0906999996, 1099640.789999999], [487081.65029999986, 1099638.3192999996], [487083.1908, 1099631.4372000005], [487086.4718000004, 1099632.2074999996], [487086.9919999996, 1099629.9768000003], [487088.05229999963, 1099625.4855000004], [487088.39240000024, 1099624.0351], [487085.98170000035, 1099623.4649], [487086.7120000003, 1099620.9741999991], [487085.2714999998, 1099620.6641000006], [487085.05150000006, 1099620.6240999997], [487084.19120000023, 1099620.4440000001], [487084.7413999997, 1099618.2533999998], [487070.6372999996, 1099614.7422000002], [487069.90699999966, 1099617.6831], [487067.4162999997, 1099618.1231999993], [487065.90589999966, 1099615.7025000006], [487057.4232999999, 1099621.1840000004], [487058.68369999994, 1099623.0945999995], [487057.05319999997, 1099624.0349000003], [487055.9029000001, 1099622.1942999996], [487047.35030000005, 1099627.4957999997], [487048.5306000002, 1099629.396400001], [487047.0502000004, 1099630.3067000005], [487045.88989999983, 1099628.4461000003], [487037.17729999963, 1099633.8476], [487038.3376000002, 1099635.7281999998], [487036.8470999999, 1099636.6985], [487035.6667999998, 1099634.7778999992], [487028.7446999997, 1099639.0691], [487029.9550999999, 1099641.0296999998], [487025.3837000001, 1099643.8904999997]], [[487008.0884999996, 1099654.8636000007], [487025.3837000001, 1099643.8904999997], [487024.17339999974, 1099641.9298999999], [487025.7938000001, 1099640.8995999992], [487022.96300000045, 1099636.8183999993], [487023.1130999997, 1099636.7283999994], [487021.71270000003, 1099634.3977000006], [487024.04339999985, 1099632.6571999993], [487019.63210000005, 1099625.5550999995], [487017.3514999999, 1099627.1954999994], [487016.6311999997, 1099626.1052], [487016.5911999997, 1099626.0451999996], [487016.1911000004, 1099626.2852999996], [487015.36089999974, 1099626.7853999995], [487014.03050000034, 1099624.6448], [487007.16839999985, 1099629.0759999994], [487008.44880000036, 1099631.2367000002], [487003.97750000004, 1099634.0274999999], [487002.6070999997, 1099631.8567999993], [486995.60500000045, 1099636.3180999998], [486996.8652999997, 1099638.2287000008], [486995.60500000045, 1099638.9689000007], [486996.4352000002, 1099640.3893], [486994.00960000046, 1099641.9189], [486998.3629999999, 1099648.8896999992], [487000.8964999998, 1099647.2814000007], [487002.44689999986, 1099649.8121000007], [487002.5669, 1099649.7421000004], [487005.1177000003, 1099653.7632999998], [487007.8585000001, 1099654.5034999996], [487008.0285, 1099654.7635999992], [487008.0884999996, 1099654.8636000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
1,2,CENTRO COMERICAL PLAZA MAYOR,PLAZA MAYOR,COMERCIAL,CENTRO COMERCIAL,PRIVADO,9,"{'rings': [[[487170.35089999996, 1099695.2781000007], [487170.78029999975, 1099692.2382999994], [487178.9040999999, 1099693.4023000002], [487180.49930000026, 1099671.2796999998], [487181.3097000001, 1099660.5965], [487182.50009999983, 1099644.9319000002], [487174.2176999999, 1099644.0317000002], [487174.26769999973, 1099643.1012999993], [487163.5844999999, 1099642.3710999992], [487167.84609999973, 1099588.3950999994], [487114.46050000004, 1099584.5636999998], [487111.9294999996, 1099617.9835], [487109.48869999964, 1099620.1841000002], [487111.60929999966, 1099622.8749000002], [487111.49930000026, 1099624.4655000009], [487110.8091000002, 1099634.5985000003], [487110.5689000003, 1099638.1494999994], [487118.16110000014, 1099638.6594999991], [487118.28110000025, 1099637.5293000005], [487119.4115000004, 1099637.6293000001], [487119.1715000002, 1099643.2010999992], [487107.54009999987, 1099642.4305000007], [487105.6124999998, 1099643.8610999994], [487103.6281000003, 1099644.1785000004], [487100.8498999998, 1099643.8610999994], [487098.6275000004, 1099643.2260999996], [487095.84130000044, 1099641.6524999999], [487096.0378999999, 1099642.8992999997], [487096.2408999996, 1099644.3789000008], [487096.28830000013, 1099644.7020999994], [487098.3892999999, 1099646.0041000005], [487100.6118999999, 1099646.5599000007], [487103.15189999994, 1099646.7979000006], [487105.53309999965, 1099646.4011000004], [487108.06570000015, 1099645.5493], [487114.7301000003, 1099646.0318999998], [487114.54009999987, 1099648.5525000002], [487113.6596999997, 1099648.9527000003], [487113.26970000006, 1099649.2627000008], [487112.9495000001, 1099649.6428999994], [487112.71949999966, 1099650.0929000005], [487112.5795, 1099650.5731000006], [487112.54949999973, 1099651.0733000003], [487112.61950000003, 1099651.5635000002], [487112.78949999996, 1099652.0335000008], [487113.05950000044, 1099652.4537000004], [487113.39969999995, 1099652.8138999995], [487113.8097000001, 1099653.0936999992], [487114.27990000043, 1099653.2839000002], [487114.7701000003, 1099653.3739], [487115.2703, 1099653.3639000002], [487116.0405000001, 1099653.1338999998], [487116.4905000003, 1099652.9339000005], [487116.88069999963, 1099652.6237000003], [487117.17069999967, 1099652.2137000002], [487117.3409000002, 1099651.7434999999], [487117.36089999974, 1099651.1132999994], [487117.4008999998, 1099651.0332999993], [487117.3208999997, 1099650.5430999994], [487117.1606999999, 1099650.0731000006], [487116.9007000001, 1099649.6428999994], [487116.57070000004, 1099649.2727000006], [487115.8202999998, 1099648.8027], [487116.0504999999, 1099646.1218999997], [487123.6227000002, 1099646.6621000003], [487121.7818999998, 1099671.9094999991], [487120.4567, 1099690.1335000005], [487127.1536999997, 1099690.1335000005], [487126.9625000004, 1099692.6210999992], [487170.35089999996, 1099695.2781000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
2,3,CENTRO COMERCIAL PLAZA LA AMISTAD,PLAZA LA AMISTAD,COMERCIAL,CENTRO COMERCIAL,PRIVADO,9,"{'rings': [[[486764.5647999998, 1099809.7474000007], [486756.11170000024, 1099796.4935999997], [486715.1568999998, 1099819.3092], [486720.70210000034, 1099832.5332999993], [486753.1564999996, 1099816.6215000004], [486764.5647999998, 1099809.7474000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
3,4,CENTRO COMERCIAL PLAZA ROHRMOSER,PLAZA ROHRMOSER,COMERCIAL,CENTRO COMERCIAL,PRIVADO,9,"{'rings': [[[486669.2751000002, 1099196.2150999997], [486692.79870000016, 1099185.6831], [486695.8513000002, 1099184.3158999998], [486689.6394999996, 1099169.4075000007], [486694.98950000014, 1099167.009299999], [486692.0377000002, 1099159.8140999991], [486686.5031000003, 1099162.2125000004], [486680.7840999998, 1099148.7451000009], [486670.08389999997, 1099153.7260999996], [486669.1615000004, 1099151.3279], [486672.42009999976, 1099150.0048999991], [486668.0739000002, 1099139.7785], [486664.95490000024, 1099141.2103000004], [486664.29009999987, 1099139.4716999996], [486667.13210000005, 1099138.2292999998], [486662.65390000027, 1099127.7113000005], [486659.63709999993, 1099129.143100001], [486659.12569999974, 1099127.609099999], [486661.9665000001, 1099126.4221], [486657.2851, 1099115.7465000004], [486654.40249999985, 1099117.0132999998], [486651.0817, 1099109.4493000004], [486654.4128999999, 1099100.6849000007], [486663.6253000004, 1099096.5209], [486664.85250000004, 1099099.6399000008], [486679.2207000004, 1099092.7370999996], [486680.75569999963, 1099096.1648999993], [486678.56630000006, 1099097.1890999991], [486689.6542999996, 1099123.1787], [486692.5499, 1099121.9072999991], [486696.78729999997, 1099132.6423000004], [486707.9057, 1099127.6602999996], [486703.6107000001, 1099116.615700001], [486705.40029999986, 1099115.7465000004], [486694.4360999996, 1099090.4473], [486692.22229999956, 1099091.5540999994], [486691.66889999993, 1099089.7093000002], [486691.68570000026, 1099089.7007], [486689.56149999984, 1099084.952299999], [486712.5669, 1099074.7639000006], [486721.9064999996, 1099078.7348999996], [486724.92169999983, 1099085.427100001], [486721.9064999996, 1099086.8979000002], [486726.7600999996, 1099097.4143000003], [486729.48110000044, 1099096.0905000009], [486729.99590000045, 1099097.4508999996], [486727.3485000003, 1099098.8483000007], [486731.98149999976, 1099109.4381000008], [486734.9967, 1099108.0406999998], [486735.6584999999, 1099109.5851000007], [486732.56989999954, 1099110.9825], [486736.9593000002, 1099121.0587000009], [486740.82909999974, 1099119.3111000005], [486741.7028999999, 1099121.4332999997], [486731.34169999976, 1099126.3016999997], [486737.2764999997, 1099139.4792999998], [486730.87849999964, 1099142.7884999998], [486733.9671, 1099149.7749000005], [486740.36510000005, 1099146.8333], [486746.31850000005, 1099161.7519000005], [486773.84750000015, 1099150.1051000003], [486773.99509999994, 1099150.0383000001], [486773.66050000023, 1099149.2712999992], [486761.9260999998, 1099122.5567000005], [486763.2993000001, 1099121.8077000007], [486744.44930000044, 1099079.7387000006], [486747.82749999966, 1099078.2230999991], [486722.0909000002, 1099023.2917], [486721.40249999985, 1099024.1538999993], [486720.6989000002, 1099024.9703000002], [486716.8841000004, 1099029.3967000004], [486714.1763000004, 1099032.0775000006], [486672.64329999965, 1099073.4911000002], [486660.8576999996, 1099080.6374999993], [486660.85830000043, 1099081.0997000001], [486643.01970000006, 1099091.2607000005], [486625.34389999975, 1099101.5445000008], [486638.2030999996, 1099128.8884999994], [486660.9732999997, 1099177.3079000004], [486669.2751000002, 1099196.2150999997]], [[486664.4179999996, 1099180.5963000003], [486687.9219000004, 1099170.2175999992], [486693.94120000023, 1099183.9759999998], [486670.45940000005, 1099194.228599999], [486664.4179999996, 1099180.5963000003]], [[486648.6599000003, 1099148.9385000002], [486667.5115, 1099141.0009000003], [486671.0833999999, 1099149.5998999998], [486652.6935999999, 1099157.3863999993], [486648.6599000003, 1099148.9385000002]], [[486715.50930000003, 1099159.3255000003], [486713.3063000003, 1099154.1291000005], [486710.59530000016, 1099155.3999000005], [486712.76970000006, 1099160.5398999993], [486715.50930000003, 1099159.3255000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
4,5,GRAN CENTRO COMERCIAL DEL SUR,CENTRO COMERCIAL DEL SUR,COMERCIAL,CENTRO COMERCIAL,PRIVADO,4,"{'rings': [[[492196.0137, 1096666.1037000008], [492199.76580000017, 1096658.8995999992], [492228.5694000004, 1096662.4751999993], [492235.5086000003, 1096663.3366], [492236.4173999997, 1096659.3118999992], [492221.38049999997, 1096657.0875000004], [492221.8596000001, 1096654.3192999996], [492194.18090000004, 1096650.6864999998], [492192.86679999996, 1096658.8995999992], [492138.98869999964, 1096650.6864999998], [492149.8300000001, 1096582.0248000007], [492181.0399000002, 1096586.9527000003], [492209.6216000002, 1096596.4799000006], [492202.06549999956, 1096642.1448], [492241.69600000046, 1096647.4474999998], [492257.0329, 1096613.5259000007], [492267.6891000001, 1096597.0975000001], [492229.33299999963, 1096582.6818000004], [492229.2137000002, 1096582.4247999992], [492181.36840000004, 1096566.5841000006], [492153.1152999997, 1096563.2989000008], [492155.0864000004, 1096549.1722999997], [492115.0064000003, 1096555.4143000003], [492098.90869999956, 1096658.2425999995], [492098.80819999985, 1096658.2281999998], [492098.9023000002, 1096658.3786999993], [492098.27689999994, 1096660.7238999996], [492104.5022, 1096661.6546], [492115.73139999993, 1096663.3334], [492128.8646999998, 1096665.2968000006], [492138.1843999997, 1096666.6900999993], [492148.4665000001, 1096668.2272999994], [492158.0582999997, 1096669.6612999998], [492167.4992000004, 1096671.0727999993], [492179.1627000002, 1096672.8165000007], [492190.9508999996, 1096674.5788000003], [492191.5526999999, 1096674.6688], [492196.0137, 1096666.1037000008]], [[492118.5861999998, 1096605.1832999997], [492122.87239999976, 1096578.8307000007], [492147.57189999986, 1096582.700099999], [492143.28560000006, 1096609.0527], [492118.5861999998, 1096605.1832999997]], [[492114.4587000003, 1096660.4284000006], [492116.15490000043, 1096649.1798], [492138.1124999998, 1096652.4908000007], [492136.4162999997, 1096663.7393999994], [492114.4587000003, 1096660.4284000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
5,6,CENTRO COMERCIAL PLAZAVENIDA,PLAZAVENIDA,COMERCIAL,CENTRO COMERCIAL,PRIVADO,1,"{'rings': [[[491800.9291000003, 1098451.8314999994], [491800.36319999956, 1098437.3482000008], [491793.7072999999, 1098437.9876000006], [491793.6487999996, 1098437.0493], [491792.98199999984, 1098427.3573000003], [491792.92420000024, 1098426.4889000002], [491794.50179999974, 1098426.4346999992], [491793.2430999996, 1098410.6953999996], [491785.60730000027, 1098411.4537000004], [491786.04959999956, 1098418.4011000004], [491785.4612999996, 1098418.5063000005], [491785.9550000001, 1098427.8302999996], [491786.1969999997, 1098432.5122999996], [491786.2056, 1098432.6720000003], [491786.43649999984, 1098436.9146999996], [491787.39520000014, 1098436.8960999995], [491787.47890000045, 1098437.3147999998], [491787.6514999997, 1098440.9486999996], [491787.01290000044, 1098441.0143999998], [491787.14350000024, 1098444.4189999998], [491788.0323999999, 1098444.4110000003], [491788.1627000002, 1098451.5512000006], [491788.24980000034, 1098456.3243000004], [491789.9391999999, 1098456.4888000004], [491794.20210000034, 1098456.2902000006], [491796.1255000001, 1098456.2004000004], [491795.8694000002, 1098451.9211], [491800.9291000003, 1098451.8314999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
6,7,PLAZA DE COMIDAS ROFAS,PLAZA ROFAS,COMERCIAL,CENTRO COMERCIAL,PRIVADO,2,"{'rings': [[[490575.25090000033, 1098599.732999999], [490605.5159999998, 1098595.5844], [490605.1858000001, 1098592.6449999996], [490607.54449999984, 1098592.3800000008], [490600.4511000002, 1098540.1587000005], [490598.1596999997, 1098540.5072000008], [490597.73220000044, 1098537.6963999998], [490567.56709999964, 1098541.8540000003], [490567.84420000017, 1098544.6063], [490565.5366000002, 1098544.8387000002], [490572.45210000034, 1098597.2712999992], [490574.9632000001, 1098597.0064000003], [490575.25090000033, 1098599.732999999]], [[490590.3428999996, 1098589.4046], [490589.7078999998, 1098580.9908000007], [490592.72420000006, 1098581.1495999992], [490592.56539999973, 1098578.2920999993], [490600.66170000006, 1098577.6570999995], [490600.97919999994, 1098580.9908000007], [490603.0429999996, 1098580.5145999994], [490603.6780000003, 1098588.7696000002], [490600.97919999994, 1098589.2457999997], [490601.13800000027, 1098591.7858000007], [490593.35919999983, 1098592.4208000004], [490593.20050000027, 1098589.4046], [490590.3428999996, 1098589.4046]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
7,8,CENTRO COMERCIAL LA PAZ,CENTRO COMERCIAL LA PAZ,COMERCIAL,CENTRO COMERCIAL,PRIVADO,4,"{'rings': [[[491962.7687999997, 1097412.8662999999], [491995.95529999956, 1097390.1435000002], [491985.0926999999, 1097373.2073], [491978.18680000026, 1097377.7475000005], [491976.1928000003, 1097377.8871999998], [491960.4469999997, 1097378.990700001], [491951.6719000004, 1097379.6056999993], [491954.58389999997, 1097412.9615000002], [491962.7687999997, 1097412.8662999999]], [[491958.409, 1097402.2708], [491956.9537000004, 1097388.0890999995], [491962.9068, 1097388.0890999995], [491976.06989999954, 1097388.0890999995], [491979.97250000015, 1097388.0890999995], [491982.2215, 1097386.0782999992], [491985.3964999998, 1097391.5286999997], [491965.2352, 1097402.2708], [491958.409, 1097402.2708]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
8,9,CENTRO COMERIAL HATILLO,CENTRO COMERCIAL HATILLO,COMERCIAL,CENTRO COMERCIAL,PRIVADO,10,"{'rings': [[[488417.0515999999, 1096866.7469999995], [488419.4840000002, 1096853.6119999997], [488339.88609999977, 1096838.3698999994], [488340.7904000003, 1096833.8001000006], [488325.29420000035, 1096831.0329], [488324.8459999999, 1096831.3397000004], [488323.94570000004, 1096833.0101999994], [488321.2449000003, 1096846.8742999993], [488322.91530000046, 1096847.5344999991], [488322.57519999985, 1096849.3650000002], [488332.37849999964, 1096851.1678999998], [488413.7198000001, 1096866.1789999995], [488417.0515999999, 1096866.7469999995]], [[488393.28160000034, 1096861.052100001], [488395.1445000004, 1096850.5612000003], [488417.5703999996, 1096854.5434000008], [488415.7076000003, 1096865.0342999995], [488393.28160000034, 1096861.052100001]], [[488417.8803000003, 1096793.163899999], [488390.40890000015, 1096789.2908999994], [488381.4919999996, 1096837.5684999991], [488409.68400000036, 1096842.5223999992], [488417.8803000003, 1096793.163899999]], [[488341.6747000003, 1096764.7409000006], [488337.7603000002, 1096764.08], [488336.07969999965, 1096773.3226999994], [488337.2301000003, 1096773.5727999993], [488336.2597000003, 1096777.6439999994], [488336.1397000002, 1096780.4348000009], [488332.49060000014, 1096800.4746000003], [488346.9095999999, 1096802.8778000008], [488353.9992000004, 1096767.0516999997], [488341.6747000003, 1096764.7409000006]], [[488415.1560000004, 1096778.1539999992], [488378.83829999994, 1096771.7561000008], [488377.00299999956, 1096783.4346999992], [488412.33330000006, 1096789.4444999993], [488415.1560000004, 1096778.1539999992]], [[488345.40189999994, 1096810.4965000004], [488331.0800000001, 1096807.8925], [488327.80539999995, 1096825.1834999993], [488341.99509999994, 1096827.7124000005], [488345.40189999994, 1096810.4965000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
9,10,CENTRO COMERCIAL RESIDENCIAL VISTA DEL CENTRO,VISTA DEL CENTRO,COMERCIAL,CENTRO COMERCIAL,PRIVADO,11,"{'rings': [[[490407.81769999955, 1095262.3198000006], [490423.09750000015, 1095254.3335999995], [490431.60730000027, 1095250.1553000007], [490477.44489999954, 1095226.1049000006], [490472.5560999997, 1095214.4854000006], [490420.6810999997, 1095237.6075999998], [490408.3705000002, 1095244.3929999992], [490402.4478000002, 1095247.5737999994], [490400.18560000043, 1095249.8830999993], [490396.9040999999, 1095252.7770000007], [490395.0153999999, 1095250.0145999994], [490390.45129999984, 1095253.3880000003], [490392.75519999955, 1095256.4356999993], [490393.60259999987, 1095255.6884000003], [490401.45749999955, 1095265.6287999991], [490406.3892999999, 1095263.0629999992], [490407.81769999955, 1095262.3198000006]], [[490433.83660000004, 1095224.5221999995], [490429.1655000001, 1095212.5833], [490404.1468000002, 1095222.4989], [490380.2549999999, 1095231.9678000007], [490389.79420000035, 1095243.0603999998], [490411.4877000004, 1095233.929300001], [490433.83660000004, 1095224.5221999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
