,OBJECTID,ID_DISTRITO,CATEGORIA,NOMBRE,ABREVIADO,SHAPE
0,1,1,FUNDACIÓN,FUNDACIÓN PANIAMOR,FUNDACIÓN PANIAMOR,"{'rings': [[[492942.0724999998, 1098244.5703999996], [492942.0588999996, 1098244.5730000008], [492940.0661000004, 1098232.9254], [492936.21860000025, 1098233.7892000005], [492932.72020000033, 1098234.5847999994], [492929.22169999965, 1098235.3805], [492928.7845999999, 1098233.4267999995], [492923.9519999996, 1098231.4951000009], [492922.8356999997, 1098233.8500999995], [492918.3306, 1098234.8795999996], [492919.20999999996, 1098239.9054000005], [492920.0893000001, 1098244.9311999995], [492922.35259999987, 1098244.5012999997], [492923.8317, 1098252.3381999992], [492921.4587000003, 1098252.7891000006], [492922.0482999999, 1098256.1396999992], [492923.0804000003, 1098262.0529999994], [492924.11259999964, 1098267.9663999993], [492927.0251000002, 1098267.5306000002], [492931.9623999996, 1098266.7969000004], [492930.233, 1098256.6750000007], [492940.3150000004, 1098254.9560000002], [492939.5033, 1098250.2391], [492942.9321999997, 1098249.6491], [492942.0724999998, 1098244.5703999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
1,2,1,FUNDACIÓN,FUNDECOOPERACIÓN ,FUNDECOOPERACIÓN ,"{'rings': [[[493258.2002999997, 1098673.3101000004], [493257.42370000016, 1098664.2961], [493256.6425000001, 1098657.3483000007], [493256.4797, 1098655.9114999995], [493255.7614000002, 1098655.9978999998], [493254.79839999974, 1098647.7968000006], [493253.77080000006, 1098647.9158999994], [493253.18649999984, 1098642.9373000003], [493254.99230000004, 1098642.7213000003], [493241.9474999998, 1098643.9869999997], [493241.84700000007, 1098642.5504], [493234.30680000037, 1098643.4283000007], [493234.98699999973, 1098649.1416999996], [493235.8729999997, 1098649.0363999996], [493237.14460000023, 1098661.4944000002], [493241.3816999998, 1098661.0620000008], [493241.23170000035, 1098659.5748999994], [493251.69680000003, 1098658.5118000004], [493252.9720999999, 1098673.7646999992], [493258.2002999997, 1098673.3101000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
2,3,1,FUNDACIÓN,FUNDACIÓN ATENCIÓN PERSONAS,FUNDACIÓN ATENCIÓN PERSONAS,"{'rings': [[[491876.53050000034, 1098827.8968000002], [491890.60080000013, 1098825.4225999992], [491888.75320000015, 1098819.9060999993], [491888.42810000014, 1098818.1911999993], [491889.5848000003, 1098817.9910000004], [491888.12880000006, 1098810.4934], [491884.5686999997, 1098811.0949000008], [491884.7034999998, 1098812.7515999991], [491877.38900000043, 1098814.5755000003], [491877.00370000023, 1098812.8311], [491873.88439999986, 1098813.5884000007], [491876.53050000034, 1098827.8968000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
3,4,1,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES RAPIDOS HEREDIANOS,TERMINAL DE AUTOBUSES RAPIDOS HEREDIANOS,"{'rings': [[[491421.40859999973, 1098861.7182999998], [491440.6481999997, 1098860.6860000007], [491440.9633999998, 1098859.9505000003], [491454.83270000014, 1098858.5845999997], [491454.5175000001, 1098856.3781000003], [491448.7385999998, 1098856.7983999997], [491448.5285, 1098853.3311], [491445.27130000014, 1098853.6462999992], [491445.16619999986, 1098852.385399999], [491420.56149999984, 1098853.8793000001], [491420.83160000015, 1098856.4021000005], [491421.3542999998, 1098861.2014000006], [491421.40859999973, 1098861.7182999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
4,5,1,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES,"{'rings': [[[491371.92679999955, 1098893.0987], [491386.6162999999, 1098892.0673999991], [491392.82469999976, 1098891.6317999996], [491396.8471999997, 1098891.3457999993], [491408.4056000002, 1098890.542199999], [491408.0120000001, 1098885.6618000008], [491407.7758999998, 1098882.7476000004], [491407.26999999955, 1098876.4999000002], [491402.6782999998, 1098876.7809999995], [491395.4313000003, 1098877.2359999996], [491391.87770000007, 1098877.4579000007], [491380.7681, 1098878.1723999996], [491381.02049999963, 1098887.1311000008], [491380.92229999974, 1098887.2391], [491380.9194, 1098887.2049000002], [491373.1239, 1098887.7982], [491368.4134999998, 1098888.1567000002], [491368.9293999998, 1098893.3058000002], [491371.92679999955, 1098893.0987]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
5,6,1,FUNDACIÓN,FUNDACIÓN,FUNDACIÓN,"{'rings': [[[492959.7726999996, 1098480.7609], [492958.6721000001, 1098471.7020999994], [492958.6612, 1098471.6122999992], [492956.04750000034, 1098471.5790999997], [492955.6403000001, 1098467.3148999996], [492958.0323000001, 1098466.8743999992], [492956.5619999999, 1098454.3039999995], [492943.25659999996, 1098456.2152999993], [492943.74870000035, 1098459.7885999996], [492940.9776999997, 1098460.3319000006], [492942.24450000003, 1098469.7130999994], [492942.35140000004, 1098470.4911000002], [492942.6004999997, 1098472.3565999996], [492942.84949999955, 1098474.2219999991], [492943.09860000014, 1098476.0875000004], [492943.3476, 1098477.9529], [492954.9676000001, 1098476.2200000007], [492955.77579999994, 1098481.6658999994], [492957.79059999995, 1098481.3630999997], [492959.80539999995, 1098481.0603], [492959.7726999996, 1098480.7609]], [[492947.74069999997, 1098467.6095000003], [492946.7851, 1098462.3902000003], [492952.4453999996, 1098461.3610999994], [492953.3276000004, 1098466.7273999993], [492947.74069999997, 1098467.6095000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
6,7,1,FUNDACIÓN,FUNDACIÓN DESARROLLO INTELIGENCIA,FUNDACIÓN DESARROLLO INTELIGENCIA,"{'rings': [[[492902.7159000002, 1098587.2251999993], [492898.8761, 1098587.8242000006], [492899.72950000037, 1098598.822899999], [492900.4009999996, 1098607.3813000005], [492901.29389999993, 1098618.8790000007], [492903.28529999964, 1098617.647500001], [492905.2767000003, 1098616.4159999993], [492903.93450000044, 1098600.5077999998], [492906.8186999997, 1098600.262], [492907.3551000003, 1098606.5691999998], [492910.3092, 1098606.318], [492913.2631999999, 1098606.0666000005], [492913.0066999998, 1098603.0390000008], [492914.0142000001, 1098602.9536000006], [492914.4352000002, 1098607.9609999992], [492918.2648, 1098604.0339000002], [492922.8002000004, 1098599.2986999992], [492925.4944000002, 1098599.0146999992], [492924.2298999997, 1098587.2543000001], [492915.7483000001, 1098588.1662000008], [492915.4885999998, 1098585.9513000008], [492913.4913999997, 1098585.9892999995], [492902.7159000002, 1098587.2251999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
7,8,1,HOSPICIO DE HUERFANOS,HOSPICIO DE HUÉRFANOS DE SAN JOSÉ,HOSPICIO DE HUÉRFANOS DE SAN JOSÉ,"{'rings': [[[492545.55429999996, 1098609.0078999996], [492549.3502000002, 1098607.4887000006], [492548.9983999999, 1098606.6097], [492548.7098000003, 1098606.7221000008], [492548.6974999998, 1098606.7269000001], [492547.0434999997, 1098602.4825], [492545.37760000024, 1098598.2827000003], [492549.33910000045, 1098596.7787999995], [492552.71329999994, 1098595.4998000003], [492552.1180999996, 1098593.7273999993], [492554.1913999999, 1098592.9120000005], [492545.92360000033, 1098569.2621], [492556.1945000002, 1098564.9549000002], [492556.02919999976, 1098564.5281000007], [492555.28270000033, 1098562.5973000005], [492552.9713000003, 1098556.6348], [492553.7081000004, 1098556.3491999991], [492552.7587000001, 1098554.0705999993], [492544.00019999966, 1098557.4656000007], [492535.21640000027, 1098560.796], [492520.5264999997, 1098566.5615999997], [492505.81120000035, 1098572.262599999], [492493.63889999967, 1098576.981899999], [492481.42679999955, 1098581.7115000002], [492481.73330000043, 1098582.4777000006], [492485.36039999966, 1098591.4937999994], [492485.8515999997, 1098592.8077000007], [492486.9369000001, 1098595.7443000004], [492488.2907999996, 1098599.3394000009], [492490.5198999997, 1098605.4199], [492491.7687999997, 1098608.7844999991], [492492.67250000034, 1098611.2798999995], [492492.69020000007, 1098611.2730999999], [492493.5806999998, 1098613.6621000003], [492495.37229999993, 1098618.5099], [492496.3244000003, 1098621.0880999994], [492497.85979999974, 1098625.2091000006], [492497.2231999999, 1098625.5044999998], [492497.72860000003, 1098626.7234000005], [492498.2340000002, 1098627.9422999993], [492498.6719000004, 1098627.7686], [492505.0218000002, 1098625.3041999992], [492515.77080000006, 1098621.1371999998], [492526.5198999997, 1098616.9701000005], [492526.6743999999, 1098617.4880999997], [492532.6059999997, 1098615.1673000008], [492532.4241000004, 1098614.929300001], [492533.42059999984, 1098614.6806000005], [492533.21449999977, 1098613.9733000007], [492539.0859000003, 1098611.6130999997], [492545.55429999996, 1098609.0078999996]], [[492508.7488000002, 1098611.7085999995], [492505.5050999997, 1098603.172700001], [492513.52890000027, 1098599.9290999994], [492516.6018000003, 1098608.2942999993], [492508.7488000002, 1098611.7085999995]], [[492533.16139999963, 1098601.4656000007], [492531.11280000024, 1098596.514799999], [492525.4791000001, 1098599.0755000003], [492524.2840999998, 1098596.514799999], [492535.7221999997, 1098592.0760999992], [492538.6244000001, 1098599.0755000003], [492533.16139999963, 1098601.4656000007]], [[492502.6029000003, 1098596.0025999993], [492499.7006999999, 1098589.1739000008], [492505.5050999997, 1098586.9546000008], [492508.0658999998, 1098593.7832999993], [492502.6029000003, 1098596.0025999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
8,9,1,FUNDACIÓN,FUNDEMUCA,FUNDEMUCA,"{'rings': [[[492774.7934999997, 1098464.4136999995], [492776.6682000002, 1098464.0771999992], [492787.7664000001, 1098462.0792999994], [492787.3443999998, 1098459.5862000007], [492794.06439999957, 1098458.2971], [492792.6386000002, 1098450.8291999996], [492786.21779999975, 1098452.0657000002], [492786.0401999997, 1098451.017000001], [492774.9382999996, 1098452.8962999992], [492765.99700000044, 1098454.2796999998], [492766.76219999976, 1098458.6695000008], [492769.9474999998, 1098458.1053999998], [492773.5722000003, 1098457.4634000007], [492774.7934999997, 1098464.4136999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
9,10,1,HOGAR DE ANCIANOS,HOGAR SAN AGUSTÍN,HOGAR SAN AGUSTÍN,"{'rings': [[[493011.2592000002, 1098612.8894999996], [493014.7929999996, 1098612.3165000007], [493015.27049999963, 1098616.2323000003], [493021.1919, 1098615.3727000002], [493020.42789999954, 1098611.4569000006], [493024.5346999997, 1098610.8838999998], [493023.96160000004, 1098609.355799999], [493027.0179000003, 1098608.7827000003], [493027.7818999998, 1098614.1311000008], [493040.5798000004, 1098612.3165000007], [493040.1978000002, 1098610.1197999995], [493037.3326000003, 1098610.3107999992], [493036.6640999997, 1098605.8220000006], [493038.76520000026, 1098605.2489999998], [493037.81010000035, 1098597.5129000004], [493031.02919999976, 1098598.659], [493030.6470999997, 1098596.6533000004], [493024.5346999997, 1098597.3219000008], [493024.63019999955, 1098599.136499999], [493014.88850000035, 1098600.3781000003], [493014.1244000001, 1098593.8836000003], [493042.58550000004, 1098590.6363999993], [493040.67540000007, 1098574.8778000008], [493039.14719999954, 1098573.3496000003], [493002.37710000016, 1098577.7430000007], [493003.33210000023, 1098584.8104999997], [493010.20859999955, 1098583.7599], [493010.5906999996, 1098586.8160999995], [493006.1973000001, 1098587.1982000005], [493008.48950000014, 1098604.0074000005], [493007.34339999966, 1098604.0074000005], [493008.29849999957, 1098611.7434], [493011.2592000002, 1098611.4569000006], [493011.2592000002, 1098612.8894999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
