,OBJECTID,ACT_COMPL,OBSERVAC_U,NIVEL_EDUC,NOMBRE_CEN,SECUND_TIP,ABREVIADO,MATRICULA_2016,PROPIETARIO,ID_DISTRITO,SHAPE
0,1, ,VILLA ESPERANZA,PREESCOLAR,KÍNDER VILLA ESPERANZA,ACADÉMICO,KÍNDER VILLA ESPERANZA,,ESTADO,9,"{'rings': [[[485273.4190999996, 1099155.481899999], [485276.67009999976, 1099155.1667], [485275.24349999987, 1099139.6548999995], [485267.1401000004, 1099139.9941000007], [485266.6813000003, 1099133.1357000005], [485257.28729999997, 1099134.0733000003], [485259.58270000014, 1099156.5731000006], [485273.4190999996, 1099155.481899999]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
1,2, , ,UNIDAD PEDAGÓGICA,JARDÍN INFANTIL DANIEL ODUBER QUIRÓS,ACADÉMICO,J.N. DANIEL ODUBER Q.,MATRICULA,ESTADO,9,"{'rings': [[[484402.32129999995, 1099463.0494], [484402.19130000006, 1099454.8368999995], [484403.1716, 1099454.8570000008], [484403.3015999999, 1099463.0593999997], [484418.48599999957, 1099462.9093999993], [484418.5560999997, 1099457.7678999994], [484421.0268000001, 1099457.617900001], [484420.67679999955, 1099454.0468000006], [484418.3661000002, 1099454.0867999997], [484418.2460000003, 1099453.7167000007], [484407.7128999997, 1099453.9366999995], [484407.69290000014, 1099452.3662999999], [484415.8353000004, 1099452.2663000003], [484415.6654000003, 1099438.542199999], [484403.77190000005, 1099438.6921999995], [484403.7818999998, 1099439.4123999998], [484391.24820000026, 1099440.3526000008], [484392.09839999955, 1099449.4253000002], [484396.0295000002, 1099448.9952000007], [484395.8794999998, 1099450.5856999997], [484369.7818, 1099451.3157000002], [484369.5717000002, 1099448.6249000002], [484363.9600999998, 1099448.7448999994], [484362.70969999954, 1099448.6448999997], [484362.9797, 1099464.0793999992], [484402.32129999995, 1099463.0494]], [[484384.02610000037, 1099424.2178000007], [484383.9461000003, 1099423.3674999997], [484415.5455, 1099420.727], [484415.43539999984, 1099419.7467], [484417.51609999966, 1099419.4565999992], [484416.87590000033, 1099412.1445000004], [484414.6853, 1099412.1344000008], [484414.32519999985, 1099402.9517], [484416.0557000004, 1099402.7917], [484415.5555999996, 1099397.0600000005], [484411.18429999985, 1099398.7504999992], [484402.6617999999, 1099402.0514000002], [484399.05069999956, 1099403.4418000001], [484397.2901999997, 1099404.1319999993], [484397.1401000004, 1099405.5223999992], [484393.7090999996, 1099405.5923999995], [484393.6891000001, 1099406.8226999994], [484390.8783, 1099406.7827000003], [484391.10840000026, 1099407.6429999992], [484388.40759999957, 1099407.9729999993], [484388.8677000003, 1099410.5438], [484382.73589999974, 1099411.0738999993], [484382.8459000001, 1099412.2742999997], [484377.6843999997, 1099412.5943], [484377.6743999999, 1099413.204500001], [484374.49340000004, 1099413.5346000008], [484374.47339999955, 1099414.875], [484370.79229999986, 1099414.8248999994], [484370.98230000027, 1099417.1356000006], [484368.67169999983, 1099417.365700001], [484369.32180000003, 1099423.5075000003], [484371.5025000004, 1099423.3774999995], [484371.65249999985, 1099425.2579999994], [484384.02610000037, 1099424.2178000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
2,3, , ,UNIVERSIDAD,UNIVERSIDAD SAN JUDAS TADEO,ACADÉMICO,U. SAN JUDAS TADEO,,PRIVADO,9,"{'rings': [[[487454.48340000026, 1099586.0040000007], [487445.98039999977, 1099598.3278], [487470.6908, 1099616.2235000003], [487479.4880999997, 1099603.8388999999], [487454.48340000026, 1099586.0040000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
3,4, , ,UNIVERSIDAD,UNIVERSIDAD SAN JUDAS TADEO,ACADÉMICO,U. SAN JUDAS TADEO,,PRIVADO,9,"{'rings': [[[487460.5543999998, 1099628.9036999997], [487467.9166000001, 1099618.0705999993], [487442.46920000017, 1099600.7952999994], [487436.7122999998, 1099609.2248], [487449.1825000001, 1099617.9253000002], [487443.7511999998, 1099624.7818999998], [487450.08910000045, 1099629.1659999993], [487453.2723000003, 1099624.1623], [487455.2028000001, 1099625.5127000008], [487456.0931000002, 1099626.1328999996], [487451.28160000034, 1099632.6248000003], [487456.7731999997, 1099636.6260000002], [487461.5647, 1099629.6840000004], [487460.5543999998, 1099628.9036999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
4,5, , ,UNIDAD PEDAGÓGICA,ESCUELA BILINGÜE LA SABANA EN ROHRMOSER,ACADÉMICO,ESC. LA SABANA EN ROHRMOSER,MATRICULA,PRIVADO,9,"{'rings': [[[486631.34229999967, 1100114.0338000003], [486620.2594999997, 1100106.9814999998], [486619.9221999999, 1100107.9660999998], [486614.0263, 1100140.2499000002], [486620.13549999986, 1100141.4440000001], [486619.12519999966, 1100147.195699999], [486612.9565000003, 1100146.0187999997], [486609.8060999997, 1100163.0061000008], [486628.4924999997, 1100169.138699999], [486630.89180000033, 1100157.1906000003], [486623.5647, 1100156.0355999991], [486631.34229999967, 1100114.0338000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
5,6, ,PARQUEO PRIVADO,UNIDAD PEDAGÓGICA,COLEGIO HUMBOLT,ACADÉMICO,COL. HUMBOLT,MATRICULA,PRIVADO,9,"{'rings': [[[486385.08609999996, 1099471.1450999994], [486398.27990000043, 1099467.2343000006], [486398.6001000004, 1099468.4845000003], [486405.58210000023, 1099466.6240999997], [486405.2121000001, 1099465.3737000003], [486415.18510000035, 1099462.4828999992], [486415.68510000035, 1099463.9133000001], [486422.3470999999, 1099461.9628999997], [486421.93709999975, 1099460.7123000007], [486435.48110000044, 1099456.6213000007], [486435.8510999996, 1099458.1416999996], [486440.59250000026, 1099457.011499999], [486438.9121000003, 1099450.7597000003], [486438.2418999998, 1099450.9694999997], [486437.73170000035, 1099448.788899999], [486436.70150000043, 1099448.9789000005], [486436.4112999998, 1099447.7687], [486435.9212999996, 1099445.768100001], [486435.8013000004, 1099445.2379], [486436.9715, 1099444.947899999], [486436.2313000001, 1099442.4471000005], [486415.92530000024, 1099448.1886999998], [486415.0751, 1099444.9877000004], [486415.4952999996, 1099444.8576999996], [486415.53529999964, 1099444.9877000004], [486420.3167000003, 1099443.5973000005], [486420.3365000002, 1099441.3566999994], [486414.32490000036, 1099440.8764999993], [486414.4149000002, 1099441.1866999995], [486411.64410000015, 1099441.9569000006], [486411.3640999999, 1099440.9965000004], [486408.1930999998, 1099441.8366999999], [486409.08330000006, 1099445.5978999995], [486412.2843000004, 1099444.6075], [486412.62430000026, 1099445.7379], [486412.70430000033, 1099445.7179000005], [486413.6047, 1099448.8387000002], [486369.38150000013, 1099461.3522999994], [486370.0817, 1099464.4833000004], [486378.80429999996, 1099461.9725000001], [486379.68450000044, 1099465.1934999991], [486378.9243000001, 1099465.4635000005], [486379.5044999998, 1099467.5340999998], [486378.8141000001, 1099467.6240999997], [486380.54470000044, 1099473.8761], [486385.3661000002, 1099472.4857], [486385.08609999996, 1099471.1450999994]], [[486453.6403000001, 1099443.8896999992], [486453.3640999999, 1099441.4298999999], [486448.65490000043, 1099441.9495], [486449.0560999997, 1099444.5408999994], [486453.6403000001, 1099443.8896999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
6,7, ,AULAS DE AUDIOVISUALES,UNIDAD PEDAGÓGICA,COLEGIO HUMBOLT,ACADÉMICO,COL. HUMBOLT,MATRICULA,PRIVADO,9,"{'rings': [[[486473.0011, 1099598.2832999993], [486464.83299999963, 1099599.6030000001], [486463.9212999996, 1099593.2299000006], [486459.31709999964, 1099593.8419000003], [486457.5164999999, 1099596.6426999997], [486457.79669999983, 1099599.2534999996], [486464.8387000002, 1099604.5151000004], [486456.3661000002, 1099615.8784999996], [486451.83469999954, 1099616.7387000006], [486450.13430000003, 1099615.3982999995], [486448.90390000027, 1099608.0061000008], [486446.26329999976, 1099605.7952999994], [486442.56209999975, 1099605.8955000006], [486440.56149999984, 1099607.6259000003], [486439.39109999966, 1099608.9860999994], [486432.4291000003, 1099609.9165000003], [486431.05869999994, 1099610.0965], [486430.9187000003, 1099612.3373000007], [486428.4079, 1099616.3082999997], [486433.49930000026, 1099620.1394999996], [486432.27890000027, 1099622.200099999], [486442.57189999986, 1099629.7524999995], [486443.92229999974, 1099628.1418999992], [486448.5837000003, 1099631.2629000004], [486453.6152999997, 1099630.5527], [486454.1152999997, 1099632.6932999995], [486466.10890000034, 1099630.8728999998], [486466.3289000001, 1099631.9033000004], [486469.1596999997, 1099631.5731000006], [486468.6096999999, 1099627.5819000006], [486474.2812999999, 1099626.6316999998], [486474.74149999954, 1099625.8314999994], [486476.5921, 1099626.8018999994], [486480.65330000035, 1099621.1501000002], [486480.1331000002, 1099620.6501000002], [486481.1032999996, 1099619.4997000005], [486477.7625000002, 1099597.6433000006], [486473.0011, 1099598.2832999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
7,8, ,AULAS PRIMARIA,UNIDAD PEDAGÓGICA,COLEGIO HUMBOLT,ACADÉMICO,COL. HUMBOLT,MATRICULA,PRIVADO,9,"{'rings': [[[486284.5963000003, 1099484.7687], [486284.1705, 1099483.5831000004], [486280.28110000025, 1099485.2499000002], [486275.62150000036, 1099474.7115000002], [486272.28270000033, 1099476.1959000006], [486270.8841000004, 1099472.8925], [486260.50930000003, 1099477.8664999995], [486261.71970000025, 1099480.8872999996], [486245.22470000014, 1099488.2093000002], [486249.04569999967, 1099496.5618999992], [486246.4550999999, 1099497.7521000002], [486253.1168999998, 1099512.3365000002], [486254.07710000034, 1099511.8965000007], [486257.9382999996, 1099520.3289], [486269.78170000017, 1099514.9175000004], [486269.24170000013, 1099513.7468999997], [486272.90270000044, 1099512.0765000004], [486273.21270000003, 1099512.7467], [486274.29310000036, 1099512.2467], [486281.0318999998, 1099508.9831000008], [486281.69350000005, 1099511.2321000006], [486293.0705000004, 1099507.9246999994], [486290.1601, 1099501.3101000004], [486291.82830000017, 1099501.0635000002], [486291.37710000016, 1099500.0493], [486295.05649999995, 1099498.6283], [486296.2396999998, 1099497.3522999994], [486294.73929999955, 1099494.3414999992], [486289.8479000004, 1099496.6120999996], [486284.5963000003, 1099484.7687]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
8,9, ,KÍNDER CAMINO DE LUZ,PREESCOLAR,KÍNDER CAMINO DE LUZ,ACADÉMICO,KÍNDER CAMINO DE LUZ,,PRIVADO,9,"{'rings': [[[485575.2056999998, 1099608.7785999998], [485553.95550000016, 1099612.6259000003], [485554.8457000004, 1099618.0975000001], [485551.06460000016, 1099618.7075999994], [485551.39470000006, 1099620.8982999995], [485552.00490000006, 1099620.7481999993], [485556.98929999955, 1099651.742900001], [485581.1941999998, 1099647.240700001], [485575.2056999998, 1099608.7785999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
9,10, , ,PRIMARIA,ESCUELA CARLOS SANABRIA MORA,ACADÉMICO,ESC. CARLOS SANABRIA,MATRICULA,ESTADO,9,"{'rings': [[[485686.02969999984, 1099502.0797000006], [485684.6593000004, 1099491.0462999996], [485667.2440999998, 1099493.6071000006], [485666.48390000034, 1099488.7155000009], [485720.19990000036, 1099482.0439], [485718.72950000037, 1099468.5699000005], [485752.41949999984, 1099464.4288999997], [485752.73950000014, 1099466.6897], [485755.91050000023, 1099466.1695000008], [485756.37509999983, 1099471.197899999], [485759.5031000003, 1099469.7443000004], [485759.6217, 1099467.8301], [485765.02689999994, 1099467.3735000007], [485764.72310000006, 1099465.1692999993], [485769.8147, 1099464.6690999996], [485767.0840999996, 1099439.7018999998], [485750.24909999967, 1099441.4623000007], [485751.0893000001, 1099450.3449000008], [485727.49230000004, 1099453.2854999993], [485726.83210000023, 1099445.6932999995], [485733.0538999997, 1099445.0230999999], [485732.73390000034, 1099442.3023000006], [485722.73450000025, 1099443.2939], [485716.80069999956, 1099443.9408999998], [485716.87909999955, 1099447.0537], [485723.4411000004, 1099446.2935000006], [485724.20129999984, 1099453.695699999], [485697.59329999983, 1099457.0063000005], [485697.8035000004, 1099459.0870999992], [485649.86930000037, 1099464.8184999991], [485651.34949999955, 1099476.9420999996], [485660.3923000004, 1099475.7517000008], [485660.72229999956, 1099477.1120999996], [485651.33970000036, 1099478.1122999992], [485652.81989999954, 1099490.4158999994], [485661.95270000026, 1099489.2756999992], [485662.2927000001, 1099491.8465], [485641.5011, 1099494.7621], [485644.38069999963, 1099517.6949000005], [485651.99810000043, 1099515.8879000004], [485661.55289999954, 1099513.1470999997], [485665.1902999999, 1099511.7137000002], [485664.64609999955, 1099508.3520999998], [485671.1952999998, 1099507.5611000005], [485670.9952999996, 1099503.9398999996], [485686.02969999984, 1099502.0797000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
10,11, , ,PRIMARIA,ESCUELA SANTA LUCÍA,ACADÉMICO,ESC. SANTA LUCÍA,MATRICULA,PRIVADO,9,"{'rings': [[[485068.5900999997, 1100001.5486999992], [485068.23309999984, 1100000.703400001], [485069.81630000006, 1100000.0249000005], [485069.2479999997, 1099998.7062999997], [485067.67449999973, 1099999.3805999998], [485063.5398000004, 1099989.5902999993], [485047.8345999997, 1099996.2474000007], [485051.5366000002, 1100004.8028999995], [485054.3343000002, 1100003.5680999998], [485055.8289999999, 1100007.042199999], [485068.5900999997, 1100001.5486999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
