,OBJECTID,NOMBRE,ENTIDAD,ABREVIADO,CATEGORIA,ID,ID_DISTRITO,SHAPE
0,1,MUSEO NACIONAL,ENTRETENIMIENTO Y CULTURA,MUSEO NACIONAL,MUSEO,1,4,"{'rings': [[[492188.49450000003, 1098286.4817999993], [492187.5729, 1098259.5699000005], [492185.1523000002, 1098254.1700999998], [492152.19460000005, 1098257.8940999992], [492154.2428000001, 1098269.8110000007], [492175.84219999984, 1098267.5766000003], [492179.9386, 1098348.5743000004], [492153.4979999997, 1098351.3673999999], [492151.4497999996, 1098268.6938000005], [492141.7673000004, 1098269.0661999993], [492145.1189000001, 1098362.5395], [492185.8970999997, 1098357.8844000008], [492189.6130999997, 1098352.8677999992], [492189.43489999976, 1098352.4846], [492188.13150000013, 1098286.9416000005], [492188.49450000003, 1098286.4817999993]], [[492188.49450000003, 1098286.4817999993], [492189.6130999997, 1098352.8677999992], [492189.6211000001, 1098352.8570000008], [492200.60699999984, 1098352.8570000008], [492200.60699999984, 1098356.3948], [492212.7100999998, 1098355.4638], [492214.3859000001, 1098353.9741999991], [492213.64109999966, 1098344.6641000006], [492208.4275000002, 1098344.6641000006], [492208.05510000046, 1098328.2784000002], [492211.7790999999, 1098328.0921999998], [492210.4757000003, 1098311.5201999992], [492205.6344999997, 1098311.8926], [492205.4483000003, 1098306.6789999995], [492193.34509999957, 1098307.0514000002], [492192.7865000004, 1098286.7554000001], [492188.5038999999, 1098286.7554000001], [492188.49450000003, 1098286.4817999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
1,2,MUSEO DEL JADE,ENTRETENIMIENTO Y CULTURA,MUSEO DEL JADE,MUSEO,2,4,"{'rings': [[[492040.83660000004, 1098345.5238000005], [492038.1644000001, 1098323.8837000001], [492015.9961000001, 1098326.4320999999], [491994.5493999999, 1098328.897500001], [491995.4979999997, 1098349.4507], [491996.5767000001, 1098372.825099999], [492020.6420999998, 1098371.0329999998], [492043.7737999996, 1098369.3103999998], [492040.83660000004, 1098345.5238000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
2,3,MUSEO DE ARTE Y DISEÑO CONTEMPORÁNEO,ENTRETENIMIENTO Y CULTURA,MUSEO DE ARTE Y DISEÑO CONTEMPORÁNEO,MUSEO,3,1,"{'rings': [[[492099.1798999999, 1098620.4899000004], [492101.1525999997, 1098648.1992000006], [492101.1780000003, 1098648.1975999996], [492117.5469000004, 1098647.0010000002], [492114.4670000002, 1098606.5406], [492098.26609999966, 1098607.7739000004], [492099.1798999999, 1098620.4899000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
3,4,TEATRO 1887,ENTRETENIMIENTO Y CULTURA,TEATRO 1887,TEATRO,4,1,"{'rings': [[[492024.1320000002, 1098615.6040000003], [491985.11959999986, 1098617.5857999995], [491984.98890000023, 1098622.460000001], [491980.8959999997, 1098622.6866999995], [491981.68200000003, 1098635.6236000005], [491993.37710000016, 1098635.1495999992], [492012.95409999974, 1098634.0427], [492021.5217000004, 1098633.5582999997], [492019.9425999997, 1098628.6229999997], [492023.5144999996, 1098628.3474000003], [492023.4484000001, 1098625.0401000008], [492024.1320000002, 1098615.6040000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
4,5,TEATRO DE LA DANZA,ENTRETENIMIENTO Y CULTURA,TEATRO DE LA DANZA,TEATRO,5,1,"{'rings': [[[492053.1347000003, 1098619.034], [492025.3145000003, 1098620.3692000005], [492026.3069000002, 1098634.8712000009], [492041.14969999995, 1098634.2338999994], [492041.10699999984, 1098633.2391999997], [492053.1347000003, 1098632.5807000007], [492053.1347000003, 1098619.034]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
5,6,CENTRO NACIONAL DE LA CULTURA,ENTRETENIMIENTO Y CULTURA,CENTRO NACIONAL DE LA CULTURA,CENTRO CULTURAL,6,1,"{'rings': [[[491977.8535000002, 1098687.2444000002], [491981.78589999955, 1098686.9393000007], [491981.9282999998, 1098688.4803], [491987.96920000017, 1098688.1517999992], [491987.81520000007, 1098686.5852000006], [491991.6878000004, 1098686.3005], [491991.8224999998, 1098687.9373000003], [491997.8718999997, 1098687.5930000003], [491997.7747999998, 1098685.6862000003], [492006.6018000003, 1098684.9943000004], [492006.7664000001, 1098687.0932], [492015.30140000023, 1098686.6065999996], [492015.08779999986, 1098684.7261999995], [492016.57180000003, 1098684.5620000008], [492016.7888000002, 1098686.5232999995], [492023.6168999998, 1098686.142000001], [492022.7999999998, 1098672.571799999], [491977.62569999974, 1098675.2913000006], [491973.6684999997, 1098613.1338999998], [492012.0151000004, 1098610.2607000005], [492011.71470000036, 1098602.4331], [491968.04569999967, 1098605.4143000003], [491964.53220000025, 1098605.6557], [491963.1013000002, 1098607.5763000008], [491965.40020000003, 1098642.0528999995], [491968.4397999998, 1098687.7588999998], [491970.4034000002, 1098689.5390000008], [491977.9079, 1098688.852], [491977.8535000002, 1098687.2444000002]], [[492066.0329, 1098683.7513999995], [492065.31269999966, 1098673.680400001], [492062.98589999974, 1098673.8318000007], [492062.8247999996, 1098671.3556999993], [492064.61039999966, 1098671.1198999994], [492066.39609999955, 1098670.8839999996], [492067.1090000002, 1098681.2547999993], [492092.44460000005, 1098679.8074999992], [492091.43939999957, 1098664.6252999995], [492066.08579999954, 1098666.366800001], [492066.1436999999, 1098667.2007999998], [492055.0537999999, 1098667.9702000003], [492054.98220000044, 1098666.6823999994], [492027.68149999995, 1098668.3971999995], [492028.5164999999, 1098683.4409999996], [492055.8766999999, 1098681.8115999997], [492055.27770000044, 1098671.7534999996], [492058.99930000026, 1098671.5738999993], [492059.03419999965, 1098674.1768999994], [492056.8499999996, 1098674.2596000005], [492057.2282999996, 1098684.2503999993], [492066.0329, 1098683.7513999995]], [[492094.1127000004, 1098658.8182999995], [492093.6616000002, 1098648.674900001], [492101.1525999997, 1098648.1992000006], [492099.1798999999, 1098620.4899000004], [492093.79140000045, 1098620.9223999996], [492084.8519000001, 1098621.5977999996], [492085.52579999994, 1098630.3312], [492073.2213000003, 1098631.4710000008], [492073.45720000006, 1098634.3652999997], [492072.85819999967, 1098634.4006999992], [492073.97950000037, 1098650.2850000001], [492075.01850000024, 1098650.2116], [492075.70579999965, 1098659.7440000009], [492094.1127000004, 1098658.8182999995]], [[492069.77639999986, 1098645.9442999996], [492069.09690000024, 1098633.7455000002], [492067.95150000043, 1098621.9305000007], [492066.3672000002, 1098598.7103000004], [492047.3189000003, 1098600.0141000003], [492048.70050000027, 1098619.1878999993], [492053.1347000003, 1098619.034], [492053.1347000003, 1098632.5807000007], [492053.5318999998, 1098634.9315000009], [492056.48089999985, 1098634.6685000006], [492057.45210000034, 1098647.1042999998], [492069.77639999986, 1098645.9442999996]], [[492131.8332000002, 1098664.0307999998], [492129.4837999996, 1098631.7019999996], [492120.5893000001, 1098632.2018], [492122.6553999996, 1098660.7978000008], [492117.02689999994, 1098673.4729999993], [492108.12119999994, 1098673.8331000004], [492108.5443000002, 1098681.3626000006], [492125.7405000003, 1098680.5854000002], [492132.0725999996, 1098667.3146000002], [492131.8332000002, 1098664.0307999998]], [[492092.2215999998, 1098618.6151], [492090.82459999993, 1098597.7534999996], [492069.5639000004, 1098599.1940000001], [492071.08299999963, 1098620.3142000008], [492072.17310000025, 1098620.2265000008], [492092.2215999998, 1098618.6151]], [[492020.37200000044, 1098657.2563000005], [492019.6191999996, 1098639.9437000006], [492007.44770000037, 1098641.0280000009], [492008.51659999974, 1098658.385399999], [492020.37200000044, 1098657.2563000005]], [[492057.15419999976, 1098647.1152999997], [492056.6564999996, 1098641.5836999994], [492044.13889999967, 1098642.7101000007], [492045.05140000023, 1098654.0277999993], [492056.8569, 1098653.0823], [492056.4040999999, 1098647.1736999992], [492057.15419999976, 1098647.1152999997]], [[492001.1584999999, 1098655.5928000007], [492000.4260999998, 1098640.8576999996], [491991.44240000006, 1098641.428200001], [491992.55370000005, 1098656.0999999996], [492001.1584999999, 1098655.5928000007]], [[492026.66789999977, 1098610.3581000008], [492026.22780000046, 1098601.4430999998], [492017.6037999997, 1098602.0303000007], [492017.74430000037, 1098610.9480000008], [492026.66789999977, 1098610.3581000008]], [[492128.68620000035, 1098620.7927], [492127.85280000046, 1098609.2445], [492121.35610000044, 1098609.8324999996], [492122.3903000001, 1098621.4988000002], [492128.68620000035, 1098620.7927]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
6,7,OFICINAS ADMINISTRATIVAS ANTIGUA ADUANA,ENTRETENIMIENTO Y CULTURA,OFICINAS ADMINISTRATIVAS ANTIGUA ADUANA,TEATRO,7,1,"{'rings': [[[492601.31149999984, 1098500.1982000005], [492619.97559999954, 1098493.2380999997], [492613.1962000001, 1098475.4430999998], [492594.5502000004, 1098482.541099999], [492601.30790000036, 1098500.1886], [492601.31149999984, 1098500.1982000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
7,8,CASA DEL CUÑO - ANTIGUA  ADUANA,ENTRETENIMIENTO Y CULTURA,CASA DEL CUÑO,CENTRO CULTURAL,8,1,"{'rings': [[[492665.4598000003, 1098564.9975000005], [492669.67929999996, 1098563.4916999992], [492675.6425999999, 1098561.3505000006], [492687.9375, 1098556.9348000009], [492679.17140000034, 1098534.3310000002], [492671.8524000002, 1098515.4615000002], [492664.8371000001, 1098497.327299999], [492642.6311999997, 1098504.7090000007], [492647.36170000024, 1098516.4616999999], [492655.95999999996, 1098513.0282000005], [492658.9612999996, 1098520.2221000008], [492659.6983000003, 1098519.9858], [492663.45139999967, 1098529.6897999998], [492662.13939999975, 1098530.3907999992], [492663.2538999999, 1098533.2572000008], [492661.2128999997, 1098533.9748], [492662.63989999983, 1098537.1579999998], [492664.5218000002, 1098536.5217000004], [492666.17819999997, 1098540.7715000007], [492661.41050000023, 1098542.5823999997], [492660.90660000034, 1098540.9789000005], [492657.88999999966, 1098542.0449], [492658.45299999975, 1098543.5579000004], [492657.45720000006, 1098543.886499999], [492665.4598000003, 1098564.9975000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
8,9,ANTIGUA ADUANA,ENTRETENIMIENTO Y CULTURA,ANTIGUA ADUANA,CENTRO CULTURAL,9,1,"{'rings': [[[492629.2675999999, 1098512.3383000009], [492608.8942999998, 1098520.4229000006], [492669.4916000003, 1098682.0469000004], [492677.6699999999, 1098678.8686999995], [492690.90979999956, 1098673.7235000003], [492689.1704000002, 1098669.1249000002], [492681.5996000003, 1098649.1980000008], [492655.97420000006, 1098582.0626999997], [492662.9369999999, 1098578.9036999997], [492640.51389999967, 1098520.198999999], [492635.8920999998, 1098520.4704], [492633.17399999965, 1098522.522500001], [492629.2675999999, 1098512.3383000009]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
9,10,TEATRO DE LA ADUANA - ALBERTO CAÑAS ESCALANTE,ENTRETENIMIENTO Y CULTURA,TEATRO DE LA ADUANA,TEATRO,10,1,"{'rings': [[[492629.2675999999, 1098512.3383000009], [492621.69770000037, 1098492.6031999998], [492620.0245000003, 1098493.2200000007], [492619.97559999954, 1098493.2380999997], [492614.68790000025, 1098495.210000001], [492601.31149999984, 1098500.1982000005], [492608.8942999998, 1098520.4229000006], [492629.2675999999, 1098512.3383000009]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
