,OBJECTID,ENTIDAD,SUBCATEGORIA,CATEGORIA,NOMBRE,ABREVIADO,TIPO_SEDE,ID_DISTRITO,OBSER_INSTITUCION,SHAPE
0,1,GOBIERNO,INSTITUCIÓN DESCENTRALIZADA NO EMPRESARIAL (MH),INSTITUCIONES DESCENTRALIZADAS NO EMPRESARIALES (MH),CONSEJO NACIONAL DE RECTORES,CONSEJO NACIONAL DE RECTORES,OFICINAS CENTRALES,9, ,"{'rings': [[[486292.80929999985, 1100278.8109000009], [486383.2742999997, 1100323.1864999998], [486386.92090000026, 1100316.3444999997], [486377.3680999996, 1100311.2531000003], [486374.57710000034, 1100316.5044999998], [486358.52249999996, 1100307.9518999998], [486386.7934999997, 1100251.3708999995], [486387.07129999995, 1100250.8253000006], [486384.5812999997, 1100249.8213], [486384.48790000007, 1100249.7558999993], [486384.4848999996, 1100249.7536999993], [486387.85170000046, 1100243.0829000007], [486382.5201000003, 1100240.4221], [486383.28029999975, 1100238.8916999996], [486356.1325000003, 1100224.6472999994], [486354.95210000034, 1100227.0080999993], [486349.0003000004, 1100224.0371000003], [486348.69049999956, 1100224.6787], [486345.41530000046, 1100231.2544999998], [486342.8384999996, 1100229.9586999994], [486314.57969999965, 1100286.4953000005], [486294.05370000005, 1100276.2321000006], [486292.80929999985, 1100278.8109000009]], [[486320.8415000001, 1100289.3860999998], [486325.5131000001, 1100279.9233], [486333.9955000002, 1100284.104699999], [486331.59470000025, 1100288.9660999998], [486327.01350000035, 1100286.7054999992], [486324.7427000003, 1100291.3067000005], [486320.8415000001, 1100289.3860999998]], [[486357.3923000004, 1100295.6083000004], [486352.6409, 1100304.9909000006], [486349.0497000003, 1100303.1702999994], [486351.3705000002, 1100298.5890999995], [486346.7890999997, 1100296.2683000006], [486349.2198999999, 1100291.4769000001], [486357.3923000004, 1100295.6083000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
1,2,GOBIERNO,ÓRGANO DESCONCENTRADO (MH),ÓRGANOS DESCONCENTRADOS (MH),CENTRO NACIONAL DE INNOVACIONES BIOTECNOLÓGICAS,CENTRO NAC. DE INNOVACIONES BIOTECNOLÓGICAS,CENTRO DE INVESTIGACIÓN,9, ,"{'rings': [[[486335.44350000005, 1100349.0936999992], [486348.10929999966, 1100323.0763000008], [486350.4001000002, 1100324.2167000007], [486356.04169999994, 1100312.9133000001], [486356.29169999994, 1100312.3431000002], [486372.36649999954, 1100320.9058999997], [486370.47589999996, 1100326.0973000005], [486379.2385, 1100330.7587000001], [486383.2742999997, 1100323.1864999998], [486292.8092, 1100278.8109000009], [486291.6930999998, 1100281.1235000007], [486312.3491000002, 1100291.2967000008], [486306.7072999999, 1100302.7500999998], [486299.7452999996, 1100299.3289], [486281.82969999965, 1100335.4493000004], [486317.19990000036, 1100352.5439], [486330.61390000023, 1100359.0266999993], [486335.44350000005, 1100349.0936999992]], [[486312.8491000002, 1100305.7609], [486318.4908999996, 1100294.3676999994], [486322.1819000002, 1100296.1881000008], [486319.77109999955, 1100301.0596999992], [486344.07830000017, 1100313.0733000003], [486346.5091000004, 1100308.1418999992], [486350.5201000003, 1100310.1225000005], [486344.8985000001, 1100321.4858999997], [486312.8491000002, 1100305.7609]], [[486317.0899, 1100378.4924999997], [486319.33050000016, 1100374.2211000007], [486314.44909999985, 1100371.6403], [486313.45889999997, 1100373.5209], [486308.77049999963, 1100371.0489000008], [486306.5569000002, 1100369.8798999991], [486304.8362999996, 1100373.1406999994], [486307.2659, 1100374.4197000004], [486313.7988999998, 1100377.8622999992], [486314.24909999967, 1100376.9919000007], [486317.0899, 1100378.4924999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
2,3,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE OBRAS PÚBLICAS Y TRANSPORTES,MOPT,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492449.6612999998, 1096546.6304000001], [492451.95799999963, 1096545.2979000006], [492457.9742999999, 1096555.9442999996], [492462.01219999976, 1096554.0292000007], [492464.2104000002, 1096557.7364000008], [492466.20859999955, 1096557.3487], [492471.2061999999, 1096555.5311999992], [492455.49849999975, 1096534.5656000003], [492444.1933000004, 1096540.3736000005], [492449.6612999998, 1096546.6304000001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
3,4,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE OBRAS PÚBLICAS Y TRANSPORTES,MOPT,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492467.4479, 1096550.5149000008], [492475.46279999986, 1096546.9076000005], [492478.2714999998, 1096552.9394000005], [492480.38910000026, 1096552.1625999995], [492466.9285000004, 1096528.6011999995], [492455.49849999975, 1096534.5656000003], [492467.4479, 1096550.5149000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
4,5,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE OBRAS PÚBLICAS Y TRANSPORTES,MOPT,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492480.38910000026, 1096552.1625999995], [492489.57210000046, 1096548.7939999998], [492483.62320000026, 1096537.2545999996], [492477.11089999974, 1096524.7471999992], [492466.9285000004, 1096528.6011999995], [492480.38910000026, 1096552.1625999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
5,6,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE OBRAS PÚBLICAS Y TRANSPORTES,MOPT,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492489.57210000046, 1096548.7939999998], [492495.0694000004, 1096546.7729000002], [492503.3777999999, 1096543.7333000004], [492504.74990000017, 1096541.1383999996], [492500.9271, 1096530.8465999998], [492483.62320000026, 1096537.2545999996], [492489.57210000046, 1096548.7939999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
6,7,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE OBRAS PÚBLICAS Y TRANSPORTES,MOPT,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492483.62320000026, 1096537.2545999996], [492500.9271, 1096530.8465999998], [492496.9790000003, 1096520.3050999995], [492496.7282999996, 1096519.5866], [492496.1030000001, 1096519.2280000001], [492495.60280000046, 1096518.9941000007], [492495.1026999997, 1096518.8541], [492494.47759999987, 1096518.729699999], [492493.97759999987, 1096518.6678], [492493.4151999997, 1096518.6840000004], [492492.85280000046, 1096518.7469999995], [492492.2905000001, 1096518.8570000008], [492491.7907999996, 1096519.045], [492491.2910000002, 1096519.2642], [492490.79140000045, 1096519.546], [492488.7923999997, 1096520.2980000004], [492477.11089999974, 1096524.7471999992], [492483.62320000026, 1096537.2545999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
7,8,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE OBRAS PÚBLICAS Y TRANSPORTES,MOPT,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492466.9285000004, 1096528.6011999995], [492477.11089999974, 1096524.7471999992], [492488.7923999997, 1096520.2980000004], [492490.79140000045, 1096519.546], [492487.0935000004, 1096509.2072], [492465.2901999997, 1096515.6981000006], [492465.9199999999, 1096520.3062999994], [492466.9285000004, 1096528.6011999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
8,9,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE OBRAS PÚBLICAS Y TRANSPORTES,MOPT,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492465.2901999997, 1096515.6981000006], [492487.0935000004, 1096509.2072], [492485.9649, 1096505.6151], [492485.40020000003, 1096503.4909000006], [492486.02080000006, 1096499.3813000005], [492463.5887000002, 1096502.1075999998], [492463.65270000044, 1096502.6190000009], [492465.2901999997, 1096515.6981000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
9,10,GOBIERNO,ÓRGANO DESCONCENTRADO (MH),ÓRGANOS DESCONCENTRADOS (MH),LA DIRECCIÓN GENERAL DE INGENIERÍA DE TRÁNSITO,INGENIERÍA DE TRÁNSITO,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492530.5959000001, 1096499.7596000005], [492530.33779999986, 1096498.9965000004], [492530.4502999997, 1096499.0688000005], [492534.7728000004, 1096497.5406], [492532.43209999986, 1096490.695699999], [492527.8641999997, 1096491.6834999993], [492519.44849999994, 1096493.5033], [492504.8454, 1096496.7499000002], [492508.38609999977, 1096507.010399999], [492511.75930000003, 1096516.7851999998], [492514.5075000003, 1096524.7491999995], [492517.37399999984, 1096533.6351999994], [492518.6462000003, 1096535.8561000004], [492520.7101999996, 1096536.3301999997], [492522.13879999984, 1096536.3287000004], [492530.6160000004, 1096533.3346999995], [492540.74909999967, 1096529.7559999991], [492540.7034999998, 1096529.6425], [492533.8865, 1096509.4882999994], [492530.5959000001, 1096499.7596000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
