,OBJECTID,CATEGORIA,NOMBRE,ABREVIADO,SUBCATEGORIA,PROPIETARIO,ID_DISTRITO,SHAPE
0,1,SALUD,EBAIS LA LIBERTAD,EBAIS LA LIBERTAD,EBAIS,ESTADO,9.0,"{'rings': [[[484168.44120000023, 1099927.8706999999], [484161.9653000003, 1099928.1439999994], [484153.2385999998, 1099928.8286000006], [484153.2514000004, 1099929.2464000005], [484154.46520000044, 1099934.8186000008], [484155.79860000033, 1099940.8993999995], [484162.0367999999, 1099938.2271999996], [484170.31439999957, 1099935.1243999992], [484168.44120000023, 1099927.8706999999]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
1,2,SALUD,EBAIS METRÓPOLIS 3,EBAIS METRÓPOLIS 3,EBAIS,ESTADO,9.0,"{'rings': [[[482962.0371000003, 1101062.0519999992], [482966.6168999998, 1101071.9241000004], [482968.4474999998, 1101071.1739000008], [482969.3432, 1101073.0757], [482970.13800000027, 1101072.6744], [482970.1780000003, 1101072.7643999998], [482971.86840000004, 1101076.4255], [482975.07940000016, 1101075.0151000004], [482973.16889999993, 1101071.364], [482987.81319999974, 1101064.4620999992], [482988.09329999983, 1101064.9922000002], [482993.89499999955, 1101062.3815000001], [482990.6540999999, 1101055.5295000002], [482989.51379999984, 1101053.0987], [482972.82880000025, 1101061.2009999994], [482971.18840000033, 1101057.6298999991], [482968.5076000001, 1101058.7602999993], [482962.6359000001, 1101046.2565000001], [482960.38520000037, 1101047.4368999992], [482956.26400000043, 1101049.6075], [482962.0371000003, 1101062.0519999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
2,3,SALUD,EBAIS METRÓPOLIS 1,EBAIS METRÓPOLIS 1,EBAIS,ESTADO,9.0,"{'rings': [[[482535.61099999957, 1101203.7608000003], [482538.38150000013, 1101212.9473], [482539.6157999998, 1101217.0402000006], [482545.5384999998, 1101215.367900001], [482541.12349999975, 1101199.8710999992], [482534.97919999994, 1101201.6656999998], [482535.61099999957, 1101203.7608000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
3,4,SALUD,EBAIS BRIBRÍ,EBAIS BRIBRÍ,EBAIS,ESTADO,9.0,"{'rings': [[[482224.41860000044, 1101434.4587999992], [482221.7719999999, 1101428.4879], [482207.5586000001, 1101435.0638999995], [482210.2906999998, 1101440.7677999996], [482224.41860000044, 1101434.4587999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
4,6,SALUD,CLÍNICA SOLÓN NÚÑEZ FRUTOS,CLÍNICA SOLÓN NÚÑEZ F.,CLÍNICA,ESTADO,10.0,"{'rings': [[[489341.30709999986, 1096308.8498999998], [489349.96609999985, 1096331.585000001], [489359.36010000017, 1096329.1191000007], [489366.12179999985, 1096356.8563], [489385.8552000001, 1096351.4744000006], [489385.16530000046, 1096348.0244999994], [489390.5471000001, 1096346.9206000008], [489391.23709999956, 1096350.2325], [489419.8021999998, 1096343.4706999995], [489417.5943, 1096332.7070000004], [489414.0064000003, 1096333.5350000001], [489413.59240000043, 1096330.4990999997], [489431.3937999997, 1096326.4971999992], [489428.6338999998, 1096314.7676], [489410.4184999997, 1096318.9074000008], [489409.45249999966, 1096313.6635999996], [489426.83999999985, 1096309.7996999994], [489424.2181000002, 1096297.7940999996], [489406.27859999985, 1096302.210000001], [489405.4506000001, 1096297.2421000004], [489422.8381000003, 1096292.826199999], [489420.35419999994, 1096281.3726000004], [489402.4146999996, 1096285.6504999995], [489401.3108000001, 1096280.4066000003], [489418.8361999998, 1096276.6807000004], [489415.9382999996, 1096264.3991], [489342.8897000002, 1096282.5933999997], [489348.7344000004, 1096306.9017999992], [489341.30709999986, 1096308.8498999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
5,7,SALUD,CLÍNICA SOLÓN NÚÑEZ FRUTOS,CLÍNICA SOLÓN NÚÑEZ F.,CLÍNICA,ESTADO,10.0,"{'rings': [[[489338.2467, 1096274.3347999994], [489335.62480000034, 1096266.4691000003], [489329.6601, 1096268.6264999993], [489332.58889999986, 1096276.2666999996], [489338.2467, 1096274.3347999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
6,8,SALUD,CLÍNICA SOLÓN NÚÑEZ FRUTOS,CLÍNICA SOLÓN NÚÑEZ F.,CLÍNICA,ESTADO,10.0,"{'rings': [[[489368.3602, 1096266.648], [489367.4079999998, 1096262.1250999998], [489352.87430000026, 1096264.9510999992], [489335.92590000015, 1096267.3723000009], [489337.5081000002, 1096272.1191000007], [489353.7022000002, 1096269.091], [489368.3602, 1096266.648]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
7,9,SALUD,CLÍNICA SOLÓN NÚÑEZ FRUTOS,CLÍNICA SOLÓN NÚÑEZ F.,CLÍNICA,ESTADO,10.0,"{'rings': [[[489391.6628999999, 1096260.4406000003], [489390.8328999998, 1096256.1871000007], [489367.7778000003, 1096262.053200001], [489367.4079999998, 1096262.1250999998], [489368.3602, 1096266.648], [489368.6058, 1096266.6070000008], [489391.6628999999, 1096260.4406000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
8,10,SALUD,CLÍNICA SOLÓN NÚÑEZ FRUTOS,CLÍNICA SOLÓN NÚÑEZ F.,CLÍNICA,ESTADO,10.0,"{'rings': [[[489390.8328999998, 1096256.1871000007], [489391.6628999999, 1096260.4406000003], [489392.341, 1096260.2591999993], [489404.2087000003, 1096256.6713999994], [489422.56209999975, 1096249.2195999995], [489421.4581000004, 1096244.9417000003], [489403.1047, 1096252.8074999992], [489391.0991000002, 1096256.1194000002], [489390.8328999998, 1096256.1871000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
9,11,SALUD,CLÍNICA SOLÓN NÚÑEZ FRUTOS,CLÍNICA SOLÓN NÚÑEZ F.,CLÍNICA,ESTADO,10.0,"{'rings': [[[489415.9411000004, 1096264.4109000005], [489425.59800000023, 1096261.7772000004], [489425.0460000001, 1096257.6372999996], [489396.8948999997, 1096265.0890999995], [489397.4179999996, 1096269.012], [489415.9382999996, 1096264.3991], [489415.9411000004, 1096264.4109000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
10,12,SALUD,CLÍNICA SOLÓN NÚÑEZ FRUTOS,CLÍNICA SOLÓN NÚÑEZ F.,CLÍNICA,ESTADO,10.0,"{'rings': [[[489394.5860000001, 1096269.7172999997], [489390.4090999998, 1096265.7791000009], [489378.6794999996, 1096268.8149999995], [489382.97869999986, 1096272.6084000003], [489394.5860000001, 1096269.7172999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
11,13,SALUD,CLÍNICA SOLÓN NÚÑEZ FRUTOS,CLÍNICA SOLÓN NÚÑEZ F.,CLÍNICA,ESTADO,10.0,"{'rings': [[[489374.5395999998, 1096273.3687999994], [489371.0982999997, 1096270.2836000007], [489365.4319000002, 1096271.8509], [489368.46779999975, 1096275.1627999991], [489374.5395999998, 1096273.3687999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
12,14,SALUD,ÁREA DE SALUD SAN SEBASTIÁN PASO ANCHO,MIN. SALUD,CENTRO DE SALUD,ESTADO,11.0,"{'rings': [[[490179.86319999956, 1096036.0913999993], [490180.0700000003, 1096027.7272999994], [490174.95299999975, 1096028.9476999994], [490139.8964999998, 1096037.3087000009], [490141.23309999984, 1096044.8187000006], [490138.9128999999, 1096045.5437000003], [490141.4042999996, 1096057.9368999992], [490143.2412999999, 1096057.3808999993], [490154.2511999998, 1096054.8973999992], [490161.6983000003, 1096053.2105], [490161.9254999999, 1096053.159], [490161.7281999998, 1096052.2295999993], [490159.28450000007, 1096040.7161999997], [490179.86319999956, 1096036.0913999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
13,15,SALUD,CLÍNICA CARLOS DURÁN,CLÍNICA CARLOS DURÁN,CLÍNICA,ESTADO,5.0,"{'rings': [[[492288.6934000002, 1097112.9309999999], [492299.9117999999, 1097111.3434999995], [492300.1233999999, 1097115.4710000008], [492311.9768000003, 1097113.6718000006], [492311.9768000003, 1097109.5442999993], [492316.73929999955, 1097109.1208999995], [492317.37430000026, 1097114.7301000003], [492336.63599999994, 1097112.1900999993], [492336.31850000005, 1097106.1576000005], [492343.40940000024, 1097105.2051], [492343.9594999999, 1097112.8155000005], [492354.87430000026, 1097111.6060000006], [492354.4160000002, 1097103.7234000005], [492360.3426999999, 1097102.9825999998], [492357.27359999996, 1097077.4767000005], [492354.7335000001, 1097077.5825999994], [492354.3102000002, 1097075.5716999993], [492344.6793999998, 1097077.0534000006], [492344.57349999994, 1097074.6192000005], [492342.98599999957, 1097074.5133999996], [492342.45689999964, 1097069.3275000006], [492336.63599999994, 1097069.4333999995], [492336.4243000001, 1097068.375], [492306.57930000033, 1097072.8200000003], [492307.74349999987, 1097084.4616999999], [492290.28089999966, 1097086.7901000008], [492291.4451000001, 1097099.4901], [492279.48589999974, 1097101.0776000004], [492279.59169999976, 1097104.2525999993], [492276.3672000002, 1097104.5329999998], [492273.0059000002, 1097109.6766], [492266.24480000045, 1097120.2585000005], [492288.5346999997, 1097116.8997000009], [492288.6934000002, 1097112.9309999999]], [[492315.5751, 1097086.6842], [492313.4584999997, 1097087.0017000008], [492313.56429999974, 1097089.4359000009], [492309.42590000015, 1097089.7807999998], [492308.90759999957, 1097085.2026000004], [492315.2576000001, 1097084.144200001], [492315.5751, 1097086.6842]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
