,OBJECTID,NOMBRE,TIPO,USO,DECLARADO,DECRETOLEY,GACETA,FECHA_PUB,INSTITUCIO,IDENTIFI,ID_DISTRITO,SHAPE
0,1,Escuela Mauro Fernández,Educación,Cultural - Patrimonial,SI,17909-C,5,08/01/88,SI,41,3,"{'x': 490790.09169999976, 'y': 1098133.9027999993, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
1,2,Correos de Costa Rica,"Museo Postal, Fiilatélico y Telégrafo, Correos",Institucional - Patrimonial,SI,11957-C,210,03/11/80,SI,29,2,"{'x': 491231.2089999998, 'y': 1098598.6383999996, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
2,3,Casa Amarilla,Ministerio de Relaciones Exteriores,Institucional - Patrimonial,SI,6290-c,Alc.163/178,17/09/76,si,12,1,"{'x': 491972.61429999955, 'y': 1098746.4115999993, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
3,4,Museo del Colegio Superior de Señoritas,Museo,Cultural - Patrimonial,SI,18198-C,131,11/07/88,SI,69,4,"{'x': 491503.9145999998, 'y': 1098178.0424000006, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
4,5,Teatro Nacional,Teatro,Cultural - Patrimonial,SI,3632,292,24/1265,SI,79,4,"{'x': 491558.8912000004, 'y': 1098351.4507, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
5,6,Iglesia Santa Teresa de Jesús,Iglesia,Religioso - Patrimonial,SI,27642-C,34,18/02/99, ,56,1,"{'x': 492698.7882000003, 'y': 1098692.9655000009, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
6,7,Estación del Ferrocarril al Pacífico,INCOFER,Institucional - Patrimonial,SI,26552-C,6,09/01/98,SI,44,3,"{'x': 491159.02139999997, 'y': 1097497.5339000002, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
7,9,Mercado Central,Mercado,Comercial - Patrimonial,SI,24367-C,121,26/06/95,SI,65,2,"{'x': 491010.3339999998, 'y': 1098523.3180999998, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
8,10,Museo del Niño (antig. Penitenciaría),Museo y Teatro,Cultural - Patrimonial,SI,23361JCMIC,157,18/08/93,MSJ,71,2,"{'x': 491208.3049999997, 'y': 1099232.9510999992, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
9,11,Iglesia Nuestra Señora de La Soledad,Iglesia,Religioso - Patrimonial,SI,28286-C,238,08/12/99,SI,54,4,"{'x': 491838.9704, 'y': 1098188.0637999997, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
10,12,Museo Nacional,Museo,Cultural - Patrimonial,SI,15852-C,244,21/12/84,SI,72,4,"{'x': 492182.9051000001, 'y': 1098308.1651000008, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
11,13,Estación Ferrocarril Atlántico,Centro de enseñanza,Cultural - Patrimonial,SI,11664-C,143,29/07/80,SI,45,1,"{'x': 492457.5537999999, 'y': 1098520.0381000005, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
12,14,Asamblea Legislativa,Institucional,Institucional - Patrimonial,SI,20139-C,13,18/01/91,SI,6,1,"{'x': 492148.18819999974, 'y': 1098422.5292000007, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
13,15,Catedral  Metropolitana,Iglesia,Religioso - Patrimonial,SI,26936-C,97,21/05/98,SI,23,4,"{'x': 491354.7605999997, 'y': 1098305.7640000004, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
14,16,FERCORI (antig. aduana),Centro Ferial,Comercial - Patrimonial,SI,11524-C,106,04/06/80,SI,46,1,"{'x': 492681.1239, 'y': 1098650.5313000008, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
15,17,Teatro Mélico Salazar (antig. T. Raventos),Teatro,Cultural - Patrimonial,SI,17321-C,231,04/12/86,SI,78,3,"{'x': 491297.89740000013, 'y': 1098386.8692000005, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
16,18,Botica Solera,Comercial,Comercial - patrimonial,SI,28245-C,233,02/12/99, ,11,2,"{'x': 490926.01379999984, 'y': 1099113.8862999994, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
17,19,Key Largo,Bar,Comercial - patrimonial,SI,27490-C,245,17/12/98, ,59,1,"{'x': 491773.34839999955, 'y': 1098556.460000001, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
18,20,Casa Matute Gómez,Oficinas,Comercial - Patrimonial,SI,32034-MCJD,197,08/10/04,SI,17,4,"{'x': 492350.97190000024, 'y': 1097929.0785000008, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
