,Province,Canton,District,lat,long
0,GUANACASTE,HOJANCHA,MATAMBU,10.057561,-85.41950109999999
1,LIMON,LIMON,DESCONOCIDO,9.9913106,-83.04150779999999
2,ALAJUELA,SARCHÃ,TORO AMARILLO,10.2167,-84.2833
3,ALAJUELA,UPALA,YOLILLAL,10.8979462,-85.0155499
4,SAN JOSE,TARRAZU,DESCONOCIDO,9.6051515,-84.0378894
5,HEREDIA,SAN PABLO,DESCONOCIDO,9.9968342,-84.09633409999999
6,ALAJUELA,ATENAS,DESCONOCIDO,9.9784936,-84.3738394
7,PUNTARENAS,PUNTARENAS,MANZANILLO,9.696843999999999,-85.20266000000001
8,HEREDIA,SANTA BARBARA,SAN PEDRO,10.0371501,-84.15833789999999
9,SAN JOSE,LEON CORTES,SAN ANDRES,9.739062,-84.080399
10,SAN JOSE,CURRIDABAT,SANCHEZ,9.9129044,-84.01938609999999
11,SAN JOSE,PURISCAL,CHIRES,9.832137,-84.3331694
12,LIMON,LIMON,MATAMA,9.9913106,-83.04150779999999
13,PUNTARENAS,QUEPOS,QUEPOS,9.431868099999999,-84.16190759999999
14,SAN JOSE,MORAVIA,LA TRINIDAD,9.9799446,-84.0352464
15,PUNTARENAS,CORREDORES,LAUREL,8.4448201,-82.9098133
16,SAN JOSE,ACOSTA,PALMICHAL,9.8390232,-84.2061404
17,HEREDIA,SAN ISIDRO,DESCONOCIDO,10.0182399,-84.055129
18,PUNTARENAS,ESPARZA,DESCONOCIDO,9.9906919,-84.667374
19,ALAJUELA,ALAJUELA,SAN ISIDRO,9.9951563,-84.4330214
20,HEREDIA,SANTA BARBARA,DESCONOCIDO,10.0371501,-84.15833789999999
21,ALAJUELA,SAN CARLOS,MONTERREY,10.5371919,-84.659401
22,SAN JOSE,TURRUBARES,CARARA,9.702240999999999,-84.54318669999999
23,SAN JOSE,TURRUBARES,SAN LUIS,9.9280694,-84.0907246
24,PUNTARENAS,COTO BRUS,SAN VITO,8.82288,-82.9689738
25,GUANACASTE,SANTA CRUZ,BOLSON,10.2609675,-85.5843632
26,HEREDIA,SARAPIQUI,PUERTO VIEJO,10.4539873,-84.01938609999999
27,ALAJUELA,ALAJUELA,SAN RAFAEL,9.969134799999999,-84.21207
28,ALAJUELA,ZARCERO,PALMIRA,10.2117609,-84.38093599999999
29,ALAJUELA,OROTINA,COYOLAR,9.8941912,-84.55628779999999
30,SAN JOSE,TURRUBARES,SAN PABLO,9.909000800000001,-84.4408972
31,LIMON,SIQUIRRES,SIQUIRRES,10.0981388,-83.5096859
32,ALAJUELA,UPALA,SAN JOSE (PIZOTE),10.9534043,-85.1375645
33,GUANACASTE,NICOYA,NOSARA,9.9797332,-85.64862509999999
34,CARTAGO,TURRIALBA,TRES EQUIS,9.963207299999999,-83.581615
35,PUNTARENAS,BUENOS AIRES,CHANGUENA,9.1672952,-83.3308421
36,PUNTARENAS,PARRITA,PARRITA,9.518638100000002,-84.33053939999999
37,ALAJUELA,SAN RAMON,CONCEPCION,10.0910284,-84.4703933
38,ALAJUELA,GRECIA,TACARES,10.0288796,-84.2915293
39,SAN JOSE,GOICOECHEA,PURRAL,9.962174599999999,-84.0073228
40,HEREDIA,SANTO DOMINGO,SAN VICENTE,9.9917344,-84.0722375
41,ALAJUELA,ZARCERO,BRISAS,10.1864136,-84.39189739999999
42,PUNTARENAS,GOLFITO,DESCONOCIDO,8.6040618,-83.1133792
43,HEREDIA,SAN RAFAEL,SAN RAFAEL,10.0144716,-84.0986459
44,GUANACASTE,TILARAN,LIBANO,10.4177504,-84.9872797
45,LIMON,TALAMANCA,BRATSI,9.625731799999999,-82.85262019999999
46,GUANACASTE,CANAS,POROZAL,10.2603998,-85.1978239
47,PUNTARENAS,ESPARZA,CALDERA,9.9906919,-84.667374
48,SAN JOSE,SAN JOSE,CATEDRAL,9.9257827,-84.0747275
49,ALAJUELA,PALMARES,DESCONOCIDO,10.060727,-84.4378495
50,GUANACASTE,NANDAYURE,SANTA RITA,9.9903778,-85.2521952
51,SAN JOSE,DESAMPARADOS,SAN ANTONIO,9.8989015,-84.0470318
